Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Total staff in WA,No. of mining contracting staff: in WA,No. of mining contracting staff: Interstate,Notable clients,Offices in WA,Offices interstate,Services offered,% of work Mining,Mining Areas covered,Mining services revenue most recent year,Mining services revenue previous year,WA Revenue most recent financial year,WA Revenue previous financial year,Is the organisation headquartered in WA?,Ultimate holding company
Emeco Holdings,,,"Ian Testrow(Chief Executive, Managing Director)",,,,,,,,,,,,,,,Yes,
Qteq,,,Simon Ashton(Executive Chair),2017,,,,,,,,,,,,,,Yes,
H-E Parts International Crushing Solutions,80,,Gordon Fogwill(Chief Executive Officer),1988,85,,,"BHP, FMG, Rio Tinto, Nemont, Boral, Northern Star",1,3,"Offer solutions in support of surface mining…Offer solutions in support of surface mining equipment fleets, crushing and materials processing and mobile construction equipment fleets.",,"Pilbara, Mid-West, Goldfields, South West",,,NFP,,Yes,
Kennards Hire,57,,Aaron Meadows(Regional Manager),2000,150,,,,22,155,"Kennards Hire is Australia’s #1 family-owned…Kennards Hire is Australia’s #1 family-owned supplier of high quality, hire equipment. From DIY through small-medium projects to large construction sites, their equipment range is available to hire and make your job easy.",,,,,,,,
Sullair Australia,122,41,,,20,,,"Rio Tinto, BHP, Anglo Gold, Anglo Coal,",1,7,"OEM Equipment supply
Installation
Commissioning…OEM Equipment supply
Installation
Commissioning
Maintenance",70,"Pilbara, Goldfields, Kimberley",,,,,Yes,
Onsite Rental Group,,,,2005,,,,,10,20,,,,,,,,,
Excel Robotics,104,,Dan Leech(Managing Director),2006,40,,,"Schenck, Metso, FLSmidth, Joest,",5,,,75,Global,$8.00k,$7.00k,$9.50k,$6.28k,Yes,
Premium Mechanical,,,,2006,,,,,1,4,,,,,,,,Yes,
Webforge,,,Peter Marijanich(State Manager WA),,,,,,,,,,,,,,,Yes,
DIAB Engineering,,,Glen Payne(Chief Executive),1970,,,,,,,,,,,,,,Yes,
Thrifty Car & Truck Rental,51,,Keith Bedell(Owner & Managing Director),1978,180,,,"Rio Tinto, Woodside, Monadelphous, Citic Pacific…Rio Tinto, Woodside, Monadelphous, Citic Pacific Mining, YEM Technology, Mineral Resources, Downer, Minprovise, Rock on Ground, Breight Group (previously known as Pilbara Access)",17,,"Vehicle rental (cars, trucks, 4WD's, buses, Van's…Vehicle rental (cars, trucks, 4WD's, buses, Van's, utes) for short term & long term, mining specialists, leasing, mechanical servicing & repairs, vehicle sales, smash repairs, complete fleet management solutions.",75,"Western Australia Wide - Pilbara, Goldfields, Mid…Western Australia Wide - Pilbara, Goldfields, Mid-West, Gascoyne, South West, Wheatbelt, Kimberley, Peel, Great Southern",,,,,Yes,
Robit,,,Mark McGrath(Regional Sales Manager Australasia),,,,,,,,,,,,,,,Yes,
Mining & Process Solutions,,,Ivor Bryan(Managing Director),2014,,,,,,,,,,,,,,Yes,
METS Engineering Group,134,,Damian Connelly(Principal Consulting Engineer),1988,15,,,Please call for disclosure,1,,Engineering services - processing/ metallurgy/…Engineering services - processing/ metallurgy/ mechanical/ structural/ civil/ electrical,80,Global,NFP,NFP,$1.30m,$1.30m,Yes,
Orontide Group,28,8,,1979,330,,,"BHP, Rio Tinto, FMG, Roy Hill, Nickel West,…BHP, Rio Tinto, FMG, Roy Hill, Nickel West, Worsley, South32",5,,"Engineering, maintenance, preservation,…Engineering, maintenance, preservation, manufacturing, fabrication",70,"Pilbara, Mid-West, Goldfields, South West, South",,,NFP,NFP,Yes,Orontide Group Limited
e Fire & Safety,88,28,Richard Elkington(Chief Executive Officer),1999,61,,,"Australian Contract Mining, WESTGOLD, GBF…Australian Contract Mining, WESTGOLD, GBF Undergroung, Schramm Australia",3,1,"Vehicle suppression system, extinguishers, foam…Vehicle suppression system, extinguishers, foam systems , gas suppression system, fire panel and detection systems.",15,"Pilbara, Kalgoorlie ,Newman",,,,,Yes,E Group
Precision Exploration Drilling,123,58,,2018,20,,,"Red 5, Atlas Iron",1,,RC drilling,100,All WA,,,,,Yes,
Hampton Mining and Civil,24,7,Rebekka Bargiev(Executive Assistant),1977,400,,,"Northern Star, Westgold, Saracen, Kimberley…Northern Star, Westgold, Saracen, Kimberley Metals Group, Sandfire Resources, Minjar Gold, Mincor",2,,"Open pit mining, ore haulage, heavy equipment…Open pit mining, ore haulage, heavy equipment hire, heavy haulage, potable water, drill and blast, crushing and screening services, haul road construction/maintenance, tailings dams etc",,All of WA,,,,,Yes,
Rock on Ground,65,,Alan Vickery(Managing Director),2005,NFP,NFP,,,2,,"Drilling, Blasting, Explosives Supply, RC Grade…Drilling, Blasting, Explosives Supply, RC Grade Control Drilling",,,,,,,Yes,
Mine Tech Australia,,,Brendan Tritton(Managing Director),,,,,,,,,,,,,,,Yes,
SMS Group Services,58,,"Mark Welsh(Founder, Managing Director)",2001,150,120,,Karara Mining,2,,,80,"Pilbara, Kimberley, Northwest, Southwest,…Pilbara, Kimberley, Northwest, Southwest, Goldfields",$18.00m,,$25.00m,,Yes,
EnerMech,72,,,2009,100,,,,2,5,,,,,,,,Yes,
Fox Transportables,,,Nicholas Berry(Managing Director),2009,,,,,,,,,,,,,,Yes,
ABC Refinery,,,,2016,,,,,1,4,,,,,,,,,
Callidus Welding Solutions,93,,Ed Pepper(Chief Executive Officer),2003,NFP,NFP,,"HPAL, Pressure Oxidisation and Oil and Gas…HPAL, Pressure Oxidisation and Oil and Gas process operators",1,,"Maintenance, repair and fabrication of exotic…Maintenance, repair and fabrication of exotic material process equipment. Cladding and overlay of wear and corrosion resisting materials",90,,NFP,NFP,NFP,NFP,Yes,Callidus Process Solutions
Rocks Gone,,,Joanne Pannell(General Manager),2010,,,,,,,,,,,,,,Yes,
Oropesa Port Management,,,Michael Edwards(Chief Executive),,,,,,,,,,,,,,,Yes,
AIE,135,90,"Kale Billett(Managing Director, Principal Engineer)",2014,15,,,,2,2,"Engineering consulting, structural integrity…Engineering consulting, structural integrity inspections, civil engineering, structural engineering, drafting, Cathodic protection.",80,,,,,,Yes,
United Fluid Power,,,,,,,,,2,,"Consultancy on system design, system improvement,…Consultancy on system design, system improvement, project management, manufacturing and installation.

Pprovide an excellent aftermarket service of hydraulic systems and components, which includes a 24hr call out service with qualified hydraulic technicians to handle all types of mining and offshore equipment.",,,,,,,Yes,
HiSeis,111,,"Ron Schop(Chief Executive, Managing Director)",2009,26,,,,,,Seismic surveying,,,,,,,Yes,
Pressure Dynamics,94,,Snezan Makic(Managing Director),1979,50,,,"Rio Tinto, FMG, Metso, FLSmidth, Ventia,…Rio Tinto, FMG, Metso, FLSmidth, Ventia, Monadelphous",2,1,"Pressure Dynamics are Specialist Hydraulics &…Pressure Dynamics are Specialist Hydraulics & Lifting Solutions engineers and contractors for the:
- design, manufacture, installation and commissioning;
- provision of subject matter experts on and off site in specialist maintenance services
- provision of specialist rental equipment to facilitate work scopes on site
- inspection, maintenance and repair;
- hose integrity management;
- flexible hose assemblies and hydraulic componentry sales;
- storage, maintenance, and preservation of customer equipment;
- asset management and condition monitoring;
- reliability engineering and engineering consulting; and
- modelling, simulation, and training.",40,Pilbara region,,,,,Yes,Pressure Dynamics International Pty Ltd
Tricon Drilling Solutions,112,,Scott Gillam(Chief Executive Officer),2001,26,,,"Anglo American, BHP, RTIO, Glencore",1,2,Manufacturer and supplier of blast hole drilling…Manufacturer and supplier of blast hole drilling consumables to the surface mining industry.,90,"WA, QLD & NSW & Africa / PNG",,,,,Yes,
Tasman Rope Access,27,19,Brendan Halstead(General Manager),2015,350,,,"Rio Tinto Iron Ore, Fortescue Metals Group,…Rio Tinto Iron Ore, Fortescue Metals Group, AngloGold Ashanti, Newmont, Western Areas, Dampier Salt. Gold Fields",1,2,"Comprehensive rope access maintenance services…Comprehensive rope access maintenance services for short or long term shutdowns and projects; Efficient means of access to difficult to reach areas of critical fixed plant equipment; Inspection services for hard to reach areas, including NDT testing; Full wear plate/liner installation services; Crushing, screening, sampling, overland conveyor maintenance; Processing and manufacturing plant installations and upgrades; Planning for shutdown works; Site supervision for shutdowns/projects; Providing full inspection and testing services; Site support service 24 hours 7 days a week; Full commissioning support/service.",85,"Coastal, Pilbara, Kimberley, Goldfields",,,,,Yes,
CDMS Consulting Engineers,136,87,Damien Connelly(Principal Consulting Engineer),1986,NFP,,,,1,,Engineering services,NFP,Global,,,NFP,NFP,Yes,Design Engineering Pty Ltd
Total Plant Hire,137,,Brad Norris(Managing Director),2008,NFP,,,,,,,NFP,"Pilbara, Kimberley, South West, Metro, Peel,…Pilbara, Kimberley, South West, Metro, Peel, South Australia, NSW, Victoria, Tasmania",,,,,Yes,
Trenchless,124,,Craig Carty(General Manager),1996,20,,,,,,"•	Optic Fibre Zero Tension Ploughing/Plowing
•…•	Optic Fibre Zero Tension Ploughing/Plowing
•	Horizontal Directional Drilling (HDD)
•	Trenching Rock Sawing Rock Wheel, Excavation Chain Trenching
•	Pipe And Cable Plowing
•	Pipeline, Conduit, Cable, Pit And Pipe Works",25,,,,,,Yes,
FLSmidth,43,,"Tamer Eid(President, APAC Mining)",,200,,,,1,5,Engineering and mining services in materials…Engineering and mining services in materials handling and mineral processing.,100,Australia and South East Asia,,,,,,
Taranis Power Group,125,,Joe Vetrone(Managing Director),2014,NFP,,,"Roy Hill, Rio Tinto, Energy Developments",2,,"Equipment Sales and Hire of VarioGen Generators…Equipment Sales and Hire of VarioGen Generators. Construction and installation of Power stations, switch rooms and power distributions. Site support; servicing and repairs of generators .",NFP,"Pilbara, Kimberley",,,,,Yes,
MMD Australia,113,,Lee Hillyer(Managing Director),2013,25,3,,"FMG, Rio Tinto, BHP, Glencore, Iluka Resources",1,3,"Sizers, Apron Feeders, In Pit Sizing Solutions,…Sizers, Apron Feeders, In Pit Sizing Solutions, Servicing",95,"Pilbara, Goldfields, Perth Metro, South West",$30.00m,,,,Yes,MMD Group Ltd
Plantman Equipment,105,69,Michael Elliot(Managing Director),1992,40,,,,1,,"Plantman Equipment is a privately owned and…Plantman Equipment is a privately owned and operated company delivering a broad range of heavy equipment products and services to the Australian & International mining, civil and construction industries.

The company provides mobile equipment for sale or rent, together with maintenance, parts, engineering, and fabrication services. Its workshop and field departments have continuing and ongoing commitments to a variety of top tier clients who contract Plantman Equipment to complete mechanical and electrical repairs, fabrication and engineering rebuilds and modifications.

Commencing operation in 1992, Plantman Equipment has been a pioneering developer of mining service vehicles, and now designs and manufactures a range of over 25 different service vehicle modules from its main production facility in Perth, Western Australia.

Today Plantman Equipment is known across the earthmoving industry for consistently delivering mine specification equipment, backed by comprehensive service and support programs. 

With clients in 12 countries around the world Plantman Equipment has the proven experience and industry knowledge to handle the largest earthmoving projects.",80,Australia-Wide & Internationally,,,,,Yes,
Major Drilling,,,,2021,,,,,,,,,,,,,,Yes,
Talisker Equipment,118,,"Ricky Berryman(Director, Operations Manager)",2018,24,24,,,1,,,100,,NFP,,NFP,,Yes,
Intertek,20,,,,500,,,,6,19,,,,,,,,,
Enerflow Mining Services,,,"Craig Johnston(Co-Founder, Managing Director)",2012,,,,,1,,Heavy mobile equipment rental and maintenance.,,,,,,,Yes,
Norcliffe Mining Services,,,"Charles Massarella(Founder, Managing Director)",2020,,,,,1,,,,,,,,,Yes,
MICROMINE,71,,Andrew Birch(Chief Executive),1986,103,,,"BHP, MMG, Rio Tinto, Kirkland Gold, Newcrest,…BHP, MMG, Rio Tinto, Kirkland Gold, Newcrest, Newmont, Norilsk Nickel",1,2,"Mining software solutions spanning the entire…Mining software solutions spanning the entire mining process from geological exploration and 3D mine design to mine production management, mine production control and data management solutions.",85,,,,,,Yes,
DRA Global,,,"James Smith(Chief Executive, Managing Director since 2023)",2018,,,,,1,2,"DRA Global’s customised mining solutions include…DRA Global’s customised mining solutions include mining method selection, design, planning and full management of mining contractors to assist client teams.The organisation’s global team boasts impressive 600 years of combined experience in mining engineering. Project teams advise clients on the related areas of surface mining, underground mining, winders, backfill, mineral exploration and shaft design—providing clients with invaluable insights that help to deliver optimum project results.

Mining Services:
competent persons reports,
resource estimation and valuation (all compliance codes),
reserve statements to international standards (all compliance codes),
management of drilling programmes,
mine design and scheduling,
management of contract mining,
business plan optimisation,
operations plans,
shafts winders and shaft steelwork,
materials handling,
water management,
compressed air management,
winders, winding systems and headgear design,
surveys,
rock engineering,
ventilation and refrigeration",NFP,Global,,,,,Yes,
Orway IQ,,,,2019,,,,,,,,,,,,,,Yes,
Auto Control Systems,95,,John Watts(General Manager),2006,50,,,,,,,50,,,,,,Yes,
GMA Garnet Group,59,37,Grant Cox(Chief Executive),1971,NFP,,,,2,,Natural garnet abrasive for blast cleaning and…Natural garnet abrasive for blast cleaning and waterjet cutting.,NFP,Port Gregory,,,,,Yes,
Lift Equipt,100,76,Brett Johnston(Managing Director),2006,47,,,"Rio Tinto, BHP, Toll, Qube, Compass Group",3,1,"Forklift hire, sales and service, telehandler…Forklift hire, sales and service, telehandler hire, sales and service, plant and machinery service and maintenance, equipment hire including lighting, electrical and generators.",75,Pilbara,,,NFP,NFP,Yes,
Bisalloy Steel Group,164,135,"Rowan Melrose(Chief Executive, Managing Director)",1982,2,,,,1,3,"Bisalloy Steels is a unique standalone operation…Bisalloy Steels is a unique standalone operation and is Australia’s only manufacturer of high strength quenched and tempered steels - performance steel used for armour, structural and wear-resistant steel applications.",80,WA and QLD states,,,,,,Bisalloy Steels
Mechwest,96,73,Scott Mills(Managing Director),2001,50,,,"Mineral Resources, Calibre Group, Kermans,…Mineral Resources, Calibre Group, Kermans, Monadelphous, Mondium",1,1,"Shop Detailing, Steel Detailing - Structural,…Shop Detailing, Steel Detailing - Structural, Platework and Piping, Design-Assist and Integrated Project Delivery (IPD), 3D modelling, animation services, technology development, BIM (Building Information Modelling)",90,"Pilbara, Port Hedland, Karratha, Goldfields,…Pilbara, Port Hedland, Karratha, Goldfields, Gascoyne, Murchison, Mid West, Wheatbelt, South West, South Coast,Australia",,,,,Yes,Mechwest
MineARC Systems,83,47,Dion Smith(Director Sales and Marketing),1999,80,,,,2,,Safety chambers for underground mine operations…Safety chambers for underground mine operations. Emergency response products for underground mining. Hygiene products for underground mining. IoT products for underground mining.,70,Global,,,,,Yes,
Grundfos Pumps,156,102,Lincoln Rowe(Key Account Manager),1990,NFP,,,,,,,,,,,,,Yes,
Polyline Pipe Systems,151,125,Ian Dorrington(Managing Director),2018,10,,,Vimy Resources,1,,Manufacture and installation of HDPE pipe from a…Manufacture and installation of HDPE pipe from a mobile unit at the exact location of the pipeline,100,Australia,,,NFP,,Yes,
Stanlee Hospitality Supplies,152,,Shammas Ebrahim(Director),2007,NFP,,,"Serco, ISS, Goldfields, Dept. of Health, Dept. of…Serco, ISS, Goldfields, Dept. of Health, Dept. of Justice, Crown Perth, Venues West, Venues Live,",1,,"Catering Facilitiy Supplies; Articles of Daily…Catering Facilitiy Supplies; Articles of Daily Use, Commercial Kitchen Setup & Design",40,WA,,,,,Yes,
Axis Hire,97,83,Mark Cates(Managing Director),2007,50,5,,"MACA, FMG, Downer EDI Mining, BHP, NRW,…MACA, FMG, Downer EDI Mining, BHP, NRW, Middlemount Coal, Georgiou, Monadelpheous",4,,"Long-term, dry hire for operations and projects. …Long-term, dry hire for operations and projects.  With national operations, we have a diverse range of late model equipment to meet your requirements.  With the ability to source equipment as required.",90,Australia wide,,,,,Yes,Brogen Investments Pty Ltd
newGen Group ArmourGRAPH,106,,Ben Walker(Managing Director),2011,40,,,First Graphene (FGR),1,,"Wear protection, lining solutions, piping systems…Wear protection, lining solutions, piping systems, fabrication & refurbishment of equipment.",85,"Australia, South Africa, PNG, South America",,,,,Yes,
EJ Electrical,,,Fadi Dorkhom(Managing Director),1968,,,,,,,,,,,,,,Yes,
Vulcan Engineering,,,Jason Vukusich(Managing Director),1983,,,,,1,,"Cranes & Heavy Haulage, Workshop Fabrication,…Cranes & Heavy Haulage, Workshop Fabrication, Site Construction.",,,,,,,Yes,
JSW Drilling,32,,"Keren Paterson(Chief Executive, Managing Director)",2010,280,,,"Rio Tinto, South 32,  FMG, Alcoa, Hasting Metals,…Rio Tinto, South 32,  FMG, Alcoa, Hasting Metals, Ramelius",1,,"Drilling & Blasting, Mineral Sample Drilling",100,"Pilbara, Goldfields, Murchison, South West",NFP,NFP,NFP,NFP,Yes,
RUC Mining Contractors,26,20,Greg Miller(Managing Director),1991,NFP,NFP,79,,2,,"Mechanised mining, shaft sinking, large…Mechanised mining, shaft sinking, large excavations, underground construction, specialist ground support & grouting, boxhole boring, raise drilling & Shotcrete.",100,,,,,,Yes,
Hagstrom Drilling,66,66,Paul Musca(Owner and Managing Director),1992,NFP,NFP,NFP,"FMG, Talison Lithium, Rio Tinto, Mineral…FMG, Talison Lithium, Rio Tinto, Mineral Resources, Oz Minerals, Dreadnought Resources",1,,"Mineral exploration, Geotechnical and…Mineral exploration, Geotechnical and Hydrogelogical drilling services",NFP,Australia,NFP,NFP,NFP,NFP,Yes,
Transmin,75,52,Bhavesh Kotecha(Chief Executive),1987,90,,,"BHP Billiton, Fortescue Metals, Rio Tinto, First…BHP Billiton, Fortescue Metals, Rio Tinto, First Quantum Minerals, Pilbara Ports, Newcrest Mining, Lynas, Albermarle",1,1,,85,"Pilbara, Kalgoorlie, South West WA, QLD, VIC, NSW…Pilbara, Kalgoorlie, South West WA, QLD, VIC, NSW, Overseas including North America and South America",,,$75,$50,Yes,
Geographe Enterprises,56,,Sam Hyder(Chief Executive),1968,155,,,"BHP, Rio Tinto, FMG, Roy Hill, Citic Pacific,…BHP, Rio Tinto, FMG, Roy Hill, Citic Pacific, Macmahon, Perenti, Byrnecut, Sojitz, South 32.",2,1,"Seeking improvements has always been at the heart…Seeking improvements has always been at the heart of Geographe. 

Operating since 1968, Geographe evolved from a Spare Parts business to include Enhanced Performance (EP™) parts in 1994. Creating Specialised Tooling in 2010 – developing bespoke tools for the mining industry to make maintenance jobs safer.

 2022 saw Geographe add a fourth business, Asset Optimisation, combining its expertise in parts, EP™ products and Specialised Tooling with a “big picture” perspective.",95,"Goldfields, Pilbara, South West WA, Hunter Valley…Goldfields, Pilbara, South West WA, Hunter Valley, Mackay.  All mines in all states.",,,NFP,,Yes,
Roborigger,142,91,Derick Markwell(Managing Director),2018,14,,,"Newmont, Rio Tinto, BHP.",2,,"Roborigger load controlling system, Roborigger…Roborigger load controlling system, Roborigger specialised spreader, Roborigger wireless release hook, Roborigger crane planning and logistics IoT application",20,"Tanami, Pilbara",NFP,NFP,NFP,NFP,Yes,
Schlam,23,,Matt Thomas(Chief Executive),1996,430,240,50,,5,,,100,,,,,,Yes,
Jinning,,,,,,,,,,,,,,,,,,Yes,
BA Equipment Group Australia,,,,1987,,,,,,,,,,,,,,Yes,
Cube Consulting,121,,,2000,22,,,,1,,"Resource estimation,
independent review,
mining…Resource estimation,
independent review,
mining studies,
operational support.",100,Global,,,,,Yes,
Macmahon Holdings,7,6,"Michael Finnegan(Chief Executive, Managing Director )",1964,"2,212","1,999",942,,2,2,"Open cut, underground, drilling and blasting,…Open cut, underground, drilling and blasting, loading and haulage, crushing and screening, mine management, portal establishment, cablebolting, shotcreting.",100,,$1.70bn,$1.35bn,,,Yes,
Epiroc,12,12,,2018,"1,200",,,"BHP, Rio Tinto, FMG, South 32, Roy Hill, Citic…BHP, Rio Tinto, FMG, South 32, Roy Hill, Citic Pacific, Gold Fields",3,16,OEM,95,Oceania,,,,,,Epiroc AB
Swick Mining Services,38,20,"Kent Swick(Founder, Managing Director, Chief Executive since Oct 2017)",2004,226,226,164,,1,,"Underground diamond drilling, surface RC drilling…Underground diamond drilling, surface RC drilling, deep hole drilling, Mineral Technology",100,,,,,,Yes,
Colquhoun's,143,24,"Cane Thomas(State Manager, WA)",1993,13,,,"Dyno Nobel, Lynas Corporation, Alcoa, CSBP. WA…Dyno Nobel, Lynas Corporation, Alcoa, CSBP. WA Salt.",1,6,Supply of bulk bags and various other packaging…Supply of bulk bags and various other packaging conforming to UN&DG requirements. Specialists in bags and sacks. We carry  the largest ranges of various bulk bags on site in Australia.,25,National coverage,,,,,Yes,
Hybrid Systems Australia,52,,Michael Hall(Executive Director),2015,180,,,"Fortescue Metals Group, Westgold, Strandline…Fortescue Metals Group, Westgold, Strandline Resources, Pilbara Minerals, Tellus, Galena Mining, Western Power, Horizon Power",2,1,"Build Own Operate power systems
Power Purchase…Build Own Operate power systems
Power Purchase Agreements
Design and construct renewable and hybrid power systems
Manufacturing
Standalone power systems
Hydrogen systems
Battery energy storage systems
Solar farms",70,"Pilbara, Kimberley, Gascoyne, Mid West, Goldfields",,,$100.00m,,Yes,Pacific Energy Group Holdings Ltd
Vibra Industrial Air Filter Cleaning,147,45,David Solomons(Managing Director),1986,12,,,"FMG, MACA, Westrac, BIS Industries, Ausdrill,…FMG, MACA, Westrac, BIS Industries, Ausdrill, Komatsu, Emeco,Alcoa",1,,"Air Filter Cleaning Service to the mining ,…Air Filter Cleaning Service to the mining , construction , engineering , drilling , heavy haulage and industrial industries.",60,"Perth, Pilbara, Goldfields, Kalgoorlie, Geraldton…Perth, Pilbara, Goldfields, Kalgoorlie, Geraldton, Mid -West, Albany",,,,,Yes,
Pure Air Filters,158,114,David Solomons(Managing Director),1977,8,,,"Alcoa , Hamptons Transport",,,"Air Filter Cleaning service to the mining , heavy…Air Filter Cleaning service to the mining , heavy haulage , drilling , logistics and industrial industries.",40,"Perth, Kalgoorlie, Newman, Perth South West, Mid…Perth, Kalgoorlie, Newman, Perth South West, Mid West Region, Pilbara, Albany, Goldfields.",,,,,Yes,
Nitro Sibir Australia,90,,,2013,58,53,5,,2,1,Nitro Sibir Australia (NSA) is an Australian…Nitro Sibir Australia (NSA) is an Australian manufacturer and a full line supplier of explosives products and services to the mining industry.,100,"Western Australia, Queensland, South Australia",,,,,Yes,Nitro Sibir ZAO
Pilbara Rail Maintenance,44,,Chris Prior(Director and General Manager),2018,200,,,,,,,,,,,,,Yes,
MEC Mining,,,,2005,,,,,,,,,,,,,,Yes,
Mining Technicians Group Australia,,,Michael Hansen(Managing Director),,,,,,,,,,,,,,,Yes,
PLI,73,,Jack Heales(Managing Director),2009,100,100,,"Rio Tinto, Citic Pacific Mining",2,,"Mining support services, workforce and labor…Mining support services, workforce and labor solutions, logistics and materials handling, building services, shutdown services, construction services, mining maintenance, hydro excavation, corrosion control, blast and paint.",50,Pilbara,$10,$10,$18,$16,Yes,
Winnellie Group,,,,,,,,,,,,,,,,,,,
Fortin Pipelines,,,"JP Fortin(Founder, Managing Director)",,,,,,1,,,,,,,,,Yes,
Sister Heart,163,,,2022,NFP,,,,1,,"Semi-skilled and skilled operators to support…Semi-skilled and skilled operators to support customers’ projects and operations, plant and equipment hire, sources & manages the supply of goods and services on behalf of customers.",,,,,,,Yes,
Odyssey Group,77,,Wesley van der Spuy(Chief Executive),2009,88,88,12,"Pilbara Ports Authority, Fortescue Metals Group,…Pilbara Ports Authority, Fortescue Metals Group, BHP Billiton, Wilhelmsen Port Services, Seacorp, Svitzer Australia.",2,1,"Odyssey Group is a maritime logistics provider…Odyssey Group is a maritime logistics provider that provides and operates pilot boats, hydrographic survey vessels, line boats, crew and cargo transfer vessels. Odyssey Group also provides towage management services, marine infrastructure maintenance, and other on and off water logistics services to ensure the continuity of port operations.",85,Pilbara,$22.00m,$19.00m,$22.00m,$19.00m,Yes,
idoba,,,"Sarah Coleman(President, Chief Executive since 2020)",2020,,,,,1,,,,,,,,,Yes,
R&R Robotics,,,,,,,,,,,,,,,,,,Yes,
Multiplan,107,,Kane Nitschke(Managing Director),1993,40,,,"Fortescue Metals Group, Rio Tinto, BHP",1,,Construction modelling,70,,,,,,Yes,
Rapid Crushing & Screening Contractors,60,,"Neil Irvine(Founder, Managing Director)",1978,150,,,"Fortescue, Talison Lithium, Allkem",1,1,"Crushing, Screening & conveying services on…Crushing, Screening & conveying services on contract or hire to the civil, mining & resource industries.",80,Australia-wide,,,,,Yes,Rapid Crushing Group
Labwest Minerals Analysis,98,71,Brad Whisson(Managing Director),2008,50,,,"CSIRO, Dreadnought Resources, Capricorn Metals,…CSIRO, Dreadnought Resources, Capricorn Metals, Marquee Resources, Chalice, Caspin Resources",1,,"Geochemical analysis, trace element analysis,…Geochemical analysis, trace element analysis, ultrafine fraction analysis.",90,Australia,,,,,Yes,
Capel Crane Hire,102,78,Ray Payne(Managing Director),1979,45,32,,"Iluka Resources, TRONOX, Albemarle, Simcoa,…Iluka Resources, TRONOX, Albemarle, Simcoa, Talison, Monadelphous",2,,"Heavy lift, transport logistics, shutdowns,…Heavy lift, transport logistics, shutdowns, maintenance, wet and dry hire of mobile cranes.",70,"South West, Mid West , Pilbarra",,,NFP,NFP,Yes,
Rudd Industrial Supplies,114,88,Justin Marendoli-Murray(CFO and Company Secretary),1984,25,,,,2,,"Industrial supplies, fasteners, abrasives, safety…Industrial supplies, fasteners, abrasives, safety, clothing, tools power and hand, workshop equipment and consumables, welding, generators, compressors.",60,,,,NFP,NFP,Yes,
Hexagon,,,,,,,,,,,,,,,,,,,
AUS Fleet Solutions,,,,,,,,,,,,,,,,,,Yes,
Thiess,4,2,"David Greig(Group Executive, Australia West)",1933,"3,000","1,500",,,,,"Full suite of mine services including development…Full suite of mine services including development, extraction, processing, remediation, asset management and maintenance, enabling services.",,,,,,,,
Powerwest,149,,,1989,12,,,"Northern Star, Silver Lake, Black Cat Syndicate",1,,Power generation,100,All,NFP,NFP,NFP,NFP,Yes,
