Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Offices interstate,Number of external WA consultants,Industries Serviced,Number of full-time WA inhouse consultants,Total staff in WA,Percentage of Business-Other,Core business,Notable clients,Percentage of Business - Consulting,Offices in WA,Fee Per Hour,Ultimate holding company,Is the organisation headquartered in WA?,Types of consulting practiced
Westinfo,188,,Wade Halvorson(Chief Executive),2007,,,,2,3,85%,"Delivering high quality, innovative online…Delivering high quality, innovative online learning programs to client organisations and working with them to integrate learning into the daily operations of their workforce.","Woodside Energy, WA Water Corporation,",,,,,Yes,"Corporate learning programs designed and…Corporate learning programs designed and implemented to deliver client organisation objectives. Provide and host online learning courses in Business Skills, IT User Skills and IT Technical Skills. Channel partner with Skillsoft, the world's dominant e-learning provider."
HumanConnection,152,77,Wendy Lamotte(Director),2006,3,8,"Technology, government, natural resources, Non…Technology, government, natural resources, Non for Profit .",4,4,50%,"Business transformation and capability,…Business transformation and capability, behavioural change  management, organisation performance optimisation, strategic and operational HR advisory services, ICT strategy, enterprise architecture,  and talent acquisition.","Government, CSC, Roy Hill, Fiona Stanley Hospital…Government, CSC, Roy Hill, Fiona Stanley Hospital, Defence Housing Australia",50%,1,,SCW Nominees Pty Ltd,Yes,Various
Traction360,,,Sam Keats(Professional EOS Implementer),,,,,,,,,,,,,,Yes,
Equifax,166,96,"Kevin Allen(State Manager, WA & NT)",1986,4,,"Banks, financial institutions, trade credit,…Banks, financial institutions, trade credit, telecommunication and utility companies",3,3,50%,"Credit bureau, employment verification services,…Credit bureau, employment verification services, marketing services, fraud risk solutions and solution consultants",,50%,1,,,Yes,"Financial, human resources, credit risk,…Financial, human resources, credit risk, collections, data mining, direct marketing."
Future Effect,107,45,Jenni Conroy(Managing Director),2009,,NFP,"Energy, utilities, industrial and government…Energy, utilities, industrial and government sectors",NFP,NFP,30%,"Future Effect provides specialist advice in the…Future Effect provides specialist advice in the energy, utilities, industry and government sectors.  The diverse skill set of our staff, including accountants, engineers, financial analysts, economists and corporate affairs specialists enables us to provide a balanced perspective to our clients when solving critical issues and progressing major commitments.",,70%,1,,Future Effect Unit Trust,Yes,"Management, industry-specific operations,…Management, industry-specific operations, governance, finance, analytical, legal@regulatory"
Thorntons Business Advisors,,,Troy Anderson(Business Advisor),1970,,,,,,,,,,,,,Yes,
BIM Drafting Services,,,Leon Gaglia(Business Systems Manager),,,,,,,,,,,,,,Yes,
Wedge Consulting International,162,61,Darren Wedge(Managing Director),2008,2,,All industries.,NFP,NFP,,Assisting Inventors commercialise their products…Assisting Inventors commercialise their products in the USA,,,1,,,Yes,
Centre for Association Management,114,67,Ron Adams(Managing Director),2002,,,Not-for-Profit,6,6,,Provision of association management services for…Provision of association management services for the not for profit sector,WND,,1,Varies depending on budget and services required.,Centre for Association Management Pty Ltd,Yes,
Interstaff International,88,,Sheila Woods(Managing Director),1988,,,Corporate migration projects for the resources…Corporate migration projects for the resources and oil and gas industry,NFP,NFP,,Immigration advisory services.,,,1,,,Yes,
Pracsys Economics,96,57,"Michael Chappell(Founder, Managing Director)",1997,1,,"Property development, construction, state and…Property development, construction, state and local government, tourism, fisheries, aquaculture, agriculture and resources.",8,9,,"Urban economics, feasibility, economic impact,…Urban economics, feasibility, economic impact, economic development strategies, governance, business planning, strategic business planning, financial modelling.","Department of Planning, Department of Sport and…Department of Planning, Department of Sport and Recreation, Peel Development Commission, City of Albany, LandCorp, Department of Transport, Curtin University, Murdoch University, Main Roads WA, AMP Limited.",100%,1,WND,Systems Edge Management Services Pty. Ltd.,Yes,Economic and management consulting
VCI,,,,,,,,,,,,,,1,,,Yes,
AME Offshore Solutions,,,Gus Costas(Director),2002,,,,,,,,,,,,,Yes,
Grover Projects,,,,,,,,,,,Specialises in developing innovative strategies…Specialises in developing innovative strategies for the successful delivery of major projects within the utility sector.,,,1,,,Yes,
Pay@bility,72,,Lance Compton(Managing Director),2018,,,,12,12,,,,,,,,Yes,"Salary packaging, novated leases"
Veritas Engineering,,,,2004,,,,,,,,,,,,,Yes,
2020 Global Business Consultants,93,54,Jon Petelczyc(Director),2001,,NFP,,8,10,,,WA State Government,,1,,,Yes,"Accounting advice, business planning, capital…Accounting advice, business planning, capital structure advice, corporate governance solutions, performance alignment, pricing and costing of services, probity, procurement and tendering advice, strategic planning, strategic risk management, taxation advice, audit"
Maitland Consulting Group,181,108,Ruth Maitland(Managing Director),1994,,80,Public and Private sector including SMEs and NFP…Public and Private sector including SMEs and NFP and Local Governement.,NFP,NFP,50%,,,50%,1,,,Yes,"Management, strategic planning, human resources,…Management, strategic planning, human resources, organisational development, change management, facilitation, executive coaching, coaching, learning and development, psychometric tests, and a range of learning and development tools."
Hospitality Total Services,108,85,Mario Sequeira(Director / Chair Foodservice Consultants Society International (Asia Pacific Division)),1992,,1,"Hotel, taverns, restaurants, small bars, cafes,…Hotel, taverns, restaurants, small bars, cafes, aged care, lifestyle living, hospitals, liquor stores, retail, other hospitality and tourism.",6,8,,"Hospitality management and foodservice design…Hospitality management and foodservice design consultancy. Interior design, business improvement, liquor licensing.","Sodexo, Hilton, BGC, Hawaiian, City of Perth, MRA…Sodexo, Hilton, BGC, Hawaiian, City of Perth, MRA, Gastevski Group, Kapinkoff Nominees, Southern Cross Care, Bethanie, Sonya Gastevich,",100%,1,$275,Hospitality Total Services (Aus) Pty Ltd,Yes,"Hospitality management, foodservice design,…Hospitality management, foodservice design, interior design, liquor licensing, council applications"
Consulcad,,,Simon Sands(Director),,2,,"Public and social sector, resources and…Public and social sector, resources and infrastructure, commercial, SME",,,,,,,1,,,Yes,Project and portfolio management.
One Stop Corporate Solutions,242,,Sabina Schlink(Principal),2006,,52,,1,1,,Through our vast network advisers we are able to…Through our vast network advisers we are able to provide our clients with 24/7 business support and guidance on all aspects of their current and future business operations. We work closely with our clients to establish firm internal and external processes to ensure that the business is profitable. We also work together with them to identify future growth opportunities. Our focus is enabling clients to deal with the everyday issues as seamlessly as possible so that they can concentrate on running their business successfully and position it for future growth.,,100%,1,$450 (excl GST),,Yes,"Through our network of advisers we provide advice…Through our network of advisers we provide advice on everything that a business needs from A to Z to enable it to function successfully. We provide professional guidance in relation to successfully establishing a business and advice on the best corporate structure, developing good corporate governance protocols, developing polices and procedures, contract management, risk mitigation and management and crisis management protocols."
Amlec House,176,104,"Chris Cubbage(Director, Principal Consultant)",2004,,NFP,All,NFP,NFP,,"Security, risk and investigation management…Security, risk and investigation management consultancy and training.","Local Government Preferred Supplier - Security…Local Government Preferred Supplier - Security Consultants, State & Federal Government Security Agency Panel Provider, ASX100-300 Client Base",100%,1,$180+,,Yes,"Security, risk, technology and governance"
Solution Minds Consulting,42,25,"Jamon Johnston(Founder, Chief Executive)",2006,1,6,"Mining, Oil and Gas, Utilities, Not-for-profit,…Mining, Oil and Gas, Utilities, Not-for-profit, Aged Care, Community Care, Resource Services, Manufacturing, Distribution, Government, Education, Disability Services, Engineering and Ports",26,26,,"Help organisations become more streamlines,…Help organisations become more streamlines, modern and competitive for the digital era, through improved business processes and modern enterprise platforms. 

100% independent ERP and digital transformation advisors and consultants.","Boeing, Synergy, Fremantle Ports, Mid West Ports,…Boeing, Synergy, Fremantle Ports, Mid West Ports, Activ, CCIWA, REIWA, P&N Bank, Imdex, Programmed, Keystart, Ausdrill, Structerre, Land Surveys, KCGM, Talison Lithium, Independence, Japara, Silver Chain, Tyremax, Fluidra, Steel Blue Footwear, Bethanie",100%,1,$200-$400,,Yes,"ERP and Digital Roadmapping, Business Process…ERP and Digital Roadmapping, Business Process Management and Improvement, 100% Independent Enterprise Software Selection, End-to-end Project and Change Management"
Miles Morgan Australia,94,63,"Barbara Macnish(Founder, Director)",1997,1,12,"Education and training, commonwealth, state,…Education and training, commonwealth, state, local government and NFP sectors",8,10,,"Social and economic evaluation, policy and…Social and economic evaluation, policy and applied research; training, strategy, program and policy evaluation, career development policy and training, competency frameworks and learning and development.","OECD, Australian Departments of Prime Minister &…OECD, Australian Departments of Prime Minister & Cabinet, Education & Training, Jobs & Small Business, WA Departments of Training & Workforce Development, Primary Industries & Regional Development; Australian Red Cross, Government of Saudi Arabia",100%,1,From $150 GST inc.,,Yes,"Evaluation, social and economic policy, applied…Evaluation, social and economic policy, applied research primarily in the education, disability, aged care, transition to employment and human services sectors."
CultureCounts,,,Michael Chappell(Managing Director),,1,,"Arts & Culture, Education, Government, Health &…Arts & Culture, Education, Government, Health & Community, Libraries, Placemaking & Activation, Sports & Recreation",,,,,"Perth Festival, Fremantle Arts Centre, Barking…Perth Festival, Fremantle Arts Centre, Barking Gecko Theatre Company, Spare Parts Puppet Theatre, Black Swan State Theatre Company",,1,,,Yes,Management consulting.
Business Agility,,,"Deborah Banning(Co-Founder, Director)",,,,,,,,"Business coaching & executive coaching, business…Business coaching & executive coaching, business improvement & growth, digital business transformation, project & change management, strategy & business planning, Board governance & performance, Rapid business startup packages",,,1,,,Yes,
Applied Innovation Centre,174,115,Peter Newman(Managing Director),2003,,4,"All industries, private and public",2,6,,"Consultant and training in innovation,…Consultant and training in innovation, organisation and management/leadership.","DFES, Landgate, Department of Mines and Idustry…DFES, Landgate, Department of Mines and Idustry Regulation, Department of Culture and the Arts, Department of Housing, Department of Water, Department of Fisheries",100%,1,$150 - $200 per hour,,Yes,"Innovation consulting and training, human…Innovation consulting and training, human resources, corporate investigation, leadership and general management training,corporate investigations."
BLJ Australia,148,98,David Jones(Managing Director),1999,,,All industries.,4,5,,Range of services designed to make the operation…Range of services designed to make the operation of any business easier and more cost effective.,"Horizon Power; Paspaley, Navitas Limited, Slater …Horizon Power; Paspaley, Navitas Limited, Slater & Gordon Lawyers, AWH Pty Ltd, DBP Transmission.",100%,1,Contingency based or determined by function.,N/A,Yes,Procurement
Your Financial Controller,189,,Kevin Mackmin(Managing Director),2015,,3,,NFP,NFP,,,,100%,1,,,Yes,Financial
Select Carbon,,,Dean Revell(Chief Executive),2010,2,,Agriculture,,24,,Developing carbon farming projects throughout…Developing carbon farming projects throughout Australia.,,,1,,,,Environmental
Evolution Settlements,167,56,Valerie DeCosta(Liensee ),,,,Real-Estate,3,3,,Conveyancing,,,1,,,Yes,Governance
iSOL8,217,,"Craig Power(Founder, Managing Director, Principal OHS Consultant)",2015,,1,"Mining and mineral processing, general industry,…Mining and mineral processing, general industry, agriculture, oil & gas, utilities",1,2,10%,"Investigations, expert opinions, audits, risk…Investigations, expert opinions, audits, risk review and assessment, OHS documentation, tender review and submissions.","Rio Tinto, KCGM, Several WA and Interstate Legal…Rio Tinto, KCGM, Several WA and Interstate Legal Firms",90%,1,Variable,iSOL8 Pty Ltd,Yes,Occupational health and safety.
Infinite Consulting Group,182,,Andrew Madams(Director),2019,,3,,2,3,,,,,1,,,Yes,"Management, leadership, employee engagement,…Management, leadership, employee engagement, executive development, executive team alignment, executive team coaching"
Maxxia,69,41,"Rick Sherlock(State Manager, Western Australia)",1990,10,,All,12,15,,,,,1,,McMillan Shakespeare,Yes,"Salary packaging provider, novated leasing…Salary packaging provider, novated leasing provider, provider of NDIS plan management."
The Nexus Network,139,94,Jan Saggers(Managing Director),1997,,8,"WA public and private sectors, not for profit…WA public and private sectors, not for profit sector, tertiary institutions.",4,12,,"Management consulting including organisational…Management consulting including organisational design, program/policy development and review, strategic planning, research, analysis, training, facilitation/mediation, strategic human resource management, executive recruitment, governance, risk management, implementation support and job design/classification.","Over 30 government agencies including health,…Over 30 government agencies including health, education, employment and training, public sector management agencies, and WA-based universities.",100%,1,WND,,Yes,Management consulting
The Tall Poppy Publishing Group,202,137,Paul Appleton(Managing Director),1998,,NFP,"Mining, retail, finance, insurance, stockbroking,…Mining, retail, finance, insurance, stockbroking, health care, education, libraries, real-estate and development, non-profit, airlines, airports and space.",NFP,NFP,,"General management, marketing and economics,…General management, marketing and economics, performance improvement, financial planning and control, organisational design and development.",WND,100%,1,$550 per hour.,The Tall Poppy Consulting Group Pty Ltd ATF The…The Tall Poppy Consulting Group Pty Ltd ATF The Meconin Trust,Yes,"Management, financial, educational."
MacroPlan,128,,"Stuart McKnight(General Manager, WA)",2006,6,75,Property industry,5,6,40%,"Property, economic, demographic and planning…Property, economic, demographic and planning research and advisory work. MacroPlan covers all property sectors and its specialisations include: retail advisory (including retail needs and sustainability assessments); planning and development project feasibility; retirement and aged care; residential development (infill and greenfield); tourism; major infrastructure projects, and cost-benefit assessments.","Aigle Royal Group, BGC, Brookfield, Coles, ISPT,…Aigle Royal Group, BGC, Brookfield, Coles, ISPT, JLL, Colliers, Leighton Properties, Dexus, Charter Hall, Peet, Satterley, Stockland, Pindan, UDIA, PCA, Woolworths, Mirvac, Metcash, Sirona Capital, WA State Govt, Australian Government",60%,1,,MacroPlan Holdings Pty Ltd,Yes,Property economics and strategic land use…Property economics and strategic land use planning.
Integrated Managed Services,137,81,Brad Weir(Managing Director),1999,,NFP,Mining; oil and gas; infrastructure; alumina,NFP,48,75%,"Provision of technical specialists and…Provision of technical specialists and construction management. Consulting services, business systems selection and integration, specialised recruitment.",Alcoa; INPEX; BHP; Chiyoda,25%,1,NFP,,Yes,"Industrial relations, human resources, health and…Industrial relations, human resources, health and safety, construction management, maintenance technical specialists."
Total Leader & Coach Solutions Australia,161,105,"Gregory Bayne(Founder, Director)",2009,,12,"Resource sector, government, not for profit,…Resource sector, government, not for profit, accounting & finance sector.",3,5,,"Leadership development, facilitation, team…Leadership development, facilitation, team development, executive coaching, training, organisational culture, business development.",Riotinto; Woodside Energy; Calibre; Worley…Riotinto; Woodside Energy; Calibre; Worley Parsons; Transfield Worley; AHG; Bankwest; Burswood Casino; IPAA WA; Engineering Australia; Water Corporation; DEEWR; Centrelink; DofSubsea,100%,1,$300 to $450 per hour,Total Leader and Coach Solutions Australia Pty Ltd,Yes,"Organisational change, leadership development,…Organisational change, leadership development, waste elimination, mental well-being and resilience, high performing teams"
Gas Trading Australia,,,Allan McDougall(General Manager),,,,,,,,,,,,,,Yes,
Tower Human Capital,106,70,Dale Calhoun(Director ),2008,,12,All,6,18,,"Strategic human resources, organisational and…Strategic human resources, organisational and individual effectiveness, strategic capability, career management, career transition, executive coaching, talent and leadership development.","Amana Living, Anglicare WA, ASC, Atlas Iron, BHP,…Amana Living, Anglicare WA, ASC, Atlas Iron, BHP, CBH, City of Perth, DevWA, Goldfields, Holcim Lafarge, Horizon Power, Jackson McDonald, KPMG, Lynas Corp, Programmed, PwC, Racing & Wagering WA, RAC, South32, St. John of God, Telstra, WA Super",100%,1,,,Yes,"Strategic human resources, career management,…Strategic human resources, career management, organisational effectiveness and development"
Acor Consultants WA,,,"Sean Page(National Strategy Leader, Clients)",,10,,,,,,,,,1,,,Yes,
Arcadis,,,,,4,,,,50,,,,,1,,,,Design & consultancy for natural and built assets
Tender Plus Consulting,169,,Louise Ferguson(Senior Tender Specialist ),,,,,3,3,,,,,,,,,
Red Wind,126,,"Tully Young(Founder, Managing Director)",2013,2,,,5,7,,Payroll solutions to mining and oil & gas sectors,,,1,,,Yes,"Red Wind is a specialist outsourced payroll…Red Wind is a specialist outsourced payroll provider serving the unique requirements of the mining, energy, industrial and aged care sectors.

Their expertise is interpreting complex awards and agreements with employees spread across multiple and often remote project sites."
Wyatt Martin,205,,"Ben Wyatt(Co-Founder, Director)",2021,,,,2,2,,,,,1,,,Yes,
Epigroup,,,Jake Cole(Managing Director),2012,,,,,,,,,,,,,Yes,
808 Ventures,222,170,"Gary Macbeth(Co-Founder, Managing Partner)",2017,,,,1,1,100%,Venture Capital,,,1,,,Yes,Venture strategy and finance
Business Foundations,62,,Phil Kemp(CEO),1993,,,SME businesses,15,18,,"Equipping SME's with the skills and knowledge to…Equipping SME's with the skills and knowledge to start, operate and grow their business.",,,1,,,Yes,Small business training
Fujitsu Australia,52,35,"Peter Grassi(Chief Executive, Asia Pacific)",1981,27,NFP,"Public sector, health services, justice services,…Public sector, health services, justice services, insurance, finance, utilities, mining, oil & gas, resources.",NFP,NFP,80%,"Mobility, Big DATA/BI/Analytics, Cloud TCO,…Mobility, Big DATA/BI/Analytics, Cloud TCO, Transformation & Change, Strategy, Enterprise Architecture, IT Effectiveness, Cost Optimisation, Technology Roadmaps, End User Computing Sstrategy, Disaster Recovery Strategy, Value management.","Department of Finance, WA Health Support Services…Department of Finance, WA Health Support Services, WA Police, Department of Communities, Lotterywest, Dept of Fire and Emergency Services",20%,4,WND,Fujitsu Limited,Yes,"Mobility, Big Data/BI/Analytic, Cloud TCO,…Mobility, Big Data/BI/Analytic, Cloud TCO, Transformation and Change, Strategy Enterprise Architecture, IT Effectiveness, Cost Optimisation, Technology Road-maps and User Computing Strategy, Disaster Recovery Strategy, Value Management, Digital and IoT, Innovation, Cyber Security"
Gaines Advisory,,,"Alison Gaines(Founder, Managing Director)",2020,,,,,,,,,,,,,Yes,
Ankura,172,,"Chris Clark(Senior Managing Director, Perth)",2018,1,,,3,,,,,,1,,,,Insolvency.
Harrier,78,59,Vicki Smith(Chief Financial Officer),2007,2,,"Healthcare, mining, energy, education, retail,…Healthcare, mining, energy, education, retail, science and technology, construction, engineering",10,23,,"HR & talent consulting, specialist recruitment…HR & talent consulting, specialist recruitment projects, talent acquisition, recruitment process outsourcing (RPO), managed services programs (MSP), Talent Acquisition as a Service (TAaaS) project recruitment solutions.","Chevron, Coles, BHP, Rio Tinto, Deakin University…Chevron, Coles, BHP, Rio Tinto, Deakin University, AGL, CSIRO, KinCare",,1,,,Yes,"Strategic HR and talent consulting services…Strategic HR and talent consulting services including, talent mapping, recruitment technology and innovation, employer branding, employee value proposition, internal mobility, diversity & inclusion"
Hunter Executive Search Consultants,153,,,2013,,,,4,4,,,,,,,,Yes,"Specialising in the recruitment of permanent…Specialising in the recruitment of permanent professional positions in Engineering, Mining & Resources, Environment & Water, Geosciences, Building Services, Government and Not-for-Profit."
Step Beyond Strategy,130,122,Janelle Marr(Managing Director),2007,1,NFP,"Health and ageing, Human services, Education,…Health and ageing, Human services, Education, Government, Energy, Resources, Agribusiness, Transport, Infrastructure, Utilities, Professional services, Finance, Insurance, Heritage, Parks, Creative industries",NFP,NFP,,"Corporate strategy and planning, Governance…Corporate strategy and planning, Governance advisory, Business and operational transformation, Analytics and insights, Public policy, Impact frameworks, Organisational design, Portfolio and change management, Implementation support","Department of Health, WA Country Health Services,…Department of Health, WA Country Health Services, Pilbara Ports, RAC, CSA Global, Corruption & Crime Commission, St John of God, Curtin University, Silver Chain, Tattarang, Minderoo, UNESCO, Activ Foundation, ASG Group, Ronald McDonald House, Paladin",100%,1,,,Yes,"Strategy consultancy working with business and…Strategy consultancy working with business and investors to shape a better future across all industries and private, public and social sectors"
The APP Group,40,30,Stuart Bell(National Accounts Director),1989,7,,"Government, Retail, Commercial, Industrial, Land…Government, Retail, Commercial, Industrial, Land Subdivision, Services, Education, Health, Transport, Aviation, Aged Care.",27,27,85%,"APP is an integrated property and infrastructure…APP is an integrated property and infrastructure consultancy offering services across all phases of the capital investment lifecycle - Strategy, Definition, Delivery and Transition.","Development WA, Brookfield, Main Roads WA, Hoyts,…Development WA, Brookfield, Main Roads WA, Hoyts, Dexus, AMP, Curtin University, Sentinel Australia, Shire of Serpentine-Jarrahdale, Shire of Harvey, Perth Airport, PTA,  ISPT, Lend Lease, Vicinity, Westpac, Murdoch University, Wesfarmers, ALDI, TOLL.",15%,1,,Five V Capital,Yes,"APP is an integrated property and infrastructure…APP is an integrated property and infrastructure consultancy offering services across all phases of the capital investment lifecycle - Strategy, Definition, Delivery and Transition."
Campus Intuition,226,,"Samantha Hall(Co-Founder, Principal Director)",2020,,3,"Universities, higher education campuses",1,1,,,"University of WA, Curtin University, University…University of WA, Curtin University, University of Melbourne, Cranfield University, University of Technology in Sydney, University of Bristol, Edith Cowan University, James Cook University.",,1,,,Yes,Higher education campus design and research.
Cartec Consulting,215,149,Cliff Carter(Director & Principal Consultant),2004,,2,All industries,1,2,,"Human resource management, workplace relations…Human resource management, workplace relations advice, occupational health and safety, policies and procedures, HR / IR planning, HR outsourcing, recruitment, organisational reviews.",WND,100%,1,WND,,Yes,"Human resources, Industrial relations, work…Human resources, Industrial relations, work health and safety, organisational development, business restructuring, HR strategy."
Blue Zoo,131,25,Pat Scally(Chief Executive Officer),2006,,1,All,5,5,30%,"Management Advisory services in the areas of:…Management Advisory services in the areas of: governance, risk, compliance, strategy, sustainability, and technology. Blue Zoo also provides an international award winning cloud based business capability maturity evaluation and improvement planning software platform, to clients in Australia and Asia.","Newmont Mining Corporation, BHP Billiton, Synergy…Newmont Mining Corporation, BHP Billiton, Synergy, WA Government, BankWest, Victorian Government",70%,1,$255,,Yes,"Governance, risk management, strategy,…Governance, risk management, strategy, sustainability, cybersecurity, information technology management, compliance and organisational resilience."
Economics Consulting Services,191,127,"Murray Meaton(Founder, Managing Director)",1997,,,Mining and oil and gas and industry associations,NFP,NFP,,Strategic and economics advice,"Chevron, Rio Tinto, BHP Billiton, Woodside,…Chevron, Rio Tinto, BHP Billiton, Woodside, Yamatji Land and Sea Council, Chamber of Minerals and Energy, AMEC",100%,1,,,Yes,"Government reviews and submissions, forecasts,…Government reviews and submissions, forecasts, native title advice and negotiations, economic impact studies."
Consultas,190,126,"Marjolein Towler(Director & Principal Consultant, Business Process Management & Improvement)",1987,,2,Any industry,2,2,10%,Process management and process improvement…Process management and process improvement consulting,"of Bayswater, Nintex Promapp, WA Department of…of Bayswater, Nintex Promapp, WA Department of Education, Town of Claremont, Shire of Serpentine Jarrahdale, Inpex, CCIWA, Mungalalu Truscott Airbase, Perth Airport, TechnipFMC, University of Western Australia",90%,1,WND,,Yes,"People centric business process capture, analysis…People centric business process capture, analysis, improvement, including the development of business process management systems. 
Process transformation and strategy, workshop facilitation, stakeholder and change management, project management, coaching, development of training, delivery of training."
