Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Total staff in WA,Offices in WA,Offices interstate,Services offered,Current clients + relevant WA projects for each client,WA Revenue most recent financial year,Is the organisation headquartered in WA?,Ultimate holding company
ENVAR Group,,,Joe Burmaz(Managing Director),1973,,1,1,"Engineering, Construction, Maintenance & Service,…Engineering, Construction, Maintenance & Service, DDC and BMS, Fabrication, Commissioning, Fit Out & Refurbishment, Aquatic Filtration & Geothermal Applications.",,,Yes,
Premium Mechanical,,,,2006,,1,4,,,,Yes,
WA Universal Rigging & Cranes,,,Aaron Holding(General Manager),1985,,,,,,,Yes,
John Holland,74,12,"Lindsay Albonico(Executive General Manager, Special Projects)",1962,NFP,1,4,"We are about finding solutions to complex…We are about finding solutions to complex challenges and opportunities. We work across sectors, from infrastructure and property development to rail and building, to benefit communities.

This depth and breadth means we go further to serve the needs of our customers.

We can help at any point of the project lifecycle – from origination, financing and development to design and construction, operations and maintenance.",,,Yes,CCCC International Holding Ltd.
SMS Group Services,79,,"Mark Welsh(Founder, Managing Director)",2001,150,2,,"Access management, scaffolding, industrial…Access management, scaffolding, industrial services","MSP, Tianqi Lithium, FPA, Karara Mining",$25.00m,Yes,
Keller,149,88,"Chris Brown(State Manager, NT/WA)",1953,NFP,1,3,"The extensive operating capabilities offered by…The extensive operating capabilities offered by Keller allows the Company to provide structural foundations, retaining walls and ground engineering solutions utilising the widest range of techniques.",,,Yes,Keller Plc
Selected Plumbing,118,68,Wade Smith(Managing Director),1999,60,1,,"Commercial plumbing: sewer, water, fire, gas,…Commercial plumbing: sewer, water, fire, gas, stormwater, civil drainage, budgets, design & construct.","Kalgoorlie High School, Momentum Apartments,…Kalgoorlie High School, Momentum Apartments, Station St Market Redevelopment, St Vinnies State Headquarters, Emmanuel Christian College, Northshore Christian Grammar School",,Yes,
Laing O'Rourke,49,11,,2006,223,3,8,"Total engineering solutions, Digital Engineering,…Total engineering solutions, Digital Engineering, in-house design, multi-disciplined construction, direct delivery/self delivery. 
With other subsidiaries, Laing O'Rourke Australia Construction Pty Limited operates in the following sectors:
- Rail: Railway construction including high speed rail, track maintenance and rehabilitation, power upgrades, installation of overhead wiring and total asset management.
- Building: Design and construction of retail and commercial, multi-unit residential, hotels and resorts, hospitals, science and education facilities, defence facilities, restoration and fitout.
- Power: Construction of coal and gas-fired power plants, wind farms and other emerging or renewable technologies and associated services.
- Civil: Bridge construction, roads and motorways, major civil engineering works and complex earthworks and dams.
- Mining: A coordinated mine-to-port provider including coal washeries, overland conveyors, marine works and loading wharves.
- Oil and Gas: Design and construction of Liquefied Natural Gas storage facilities, including whole of project upstream and downstream capability.
- Utilities: Water treatment plants, advanced pipelines, reticulation and transfer systems
- Manufacturing: Concrete railway sleepers, turnout beams, and materials handling conveyor systems.
- Development: Investing in or developing property directly or with joint venture partners who are typically property developers, private investors and land owners. Developments include land sub-divisions, commercial, retail, residential, industrial and mixed-use.",Main Roads WA: NorthLink WA Central Section …Main Roads WA: NorthLink WA Central Section (Stage 2). Public Transport Authority: Perth Stadium Station and East Perth Station Upgrade. Bechtel: Wheatstone LNG Project Finishing Works. Defence: AIR 5428 (Pearce and Gingin). BHP: Low Level Bridges.,NFP,Yes,Laing O'Rourke Australia Pty Ltd
Keslake Group,,,,,,,,,,,Yes,
Sycamore Civil Group,,,,,,,,,,,Yes,
Avopiling WA,140,,Amir Nik Eftekhari(State Manager (WA)),2010,NFP,1,4,"* Anchors
* Bored Piles
* Continuous Flight…* Anchors
* Bored Piles
* Continuous Flight Auger (CFA)
* Cutter Soil Mixing (CSM)
* Diaphragm Walls
* Down the Hole Hammer Drilling
* Driven Piles
* Full Displacement Piles
* Jet Grouting
* Pile Testing
* Secant Pile Walls
* Segmental Casing
* Shaft Drilling / Bulk Sampling
* Sheet Piling
* Specialist Sub-Structure Packages
* Turbo Jet",,,Yes,Avopiling Group Pty Ltd
AtkinsRealis,37,12,"Joseph McCormick(Vice President, Resources Asia Pacific)",1989,300,1,4,"SNC-Lavalin provides comprehensive end-to-end…SNC-Lavalin provides comprehensive end-to-end project solutions to our clients across multiple sectors: Oil & Gas, Mining & Metallurgy, Renewables and Infrastructure (rail, road, port and avaiation).

Thorugh the acqusition of Kentz (2014) and Atkins (2015) we provide our clients with a holistic approach to service delivery from, concept, FEED, engineering and design right through to self-perform construction and management operation & maintenance and late life management. All underpinned by our digital and technology skillsets and know-how.","Woodside - Scarborough; Inpex - Ichthys Project,…Woodside - Scarborough; Inpex - Ichthys Project, Chevron - All WA Oil Assets, Gorgon, Wheatstone; Roy Hill Holding - Roy Hill Mine; Santos - All offshore assets; ENI - Blacktip; Perdaman - Project Destiny",,Yes,SNC-Lavalin Inc
ANEED Consult,155,101,Johan Lombard(Director),2012,NFP,1,,"Industrial consulting engineering, detail design…Industrial consulting engineering, detail design and project management for electrical, instrumentation and control systems in oil, gas, petrochemical, mining, utilities and building sectors.","Sustech Engineering - Renewable Energy Solutions,…Sustech Engineering - Renewable Energy Solutions, Oil and Gas Design verification, Plant Facility Improvement",NFP,Yes,NA
Trenchless,147,,Craig Carty(General Manager),1996,20,,,"•	Optic Fibre Zero Tension Ploughing/Plowing
•…•	Optic Fibre Zero Tension Ploughing/Plowing
•	Horizontal Directional Drilling (HDD)
•	Trenching Rock Sawing Rock Wheel, Excavation Chain Trenching
•	Pipe And Cable Plowing
•	Pipeline, Conduit, Cable, Pit And Pipe Works
•",,,Yes,Future Construction & Civil Pty Ltd
Taranis Power Group,146,,Joe Vetrone(Managing Director),2014,NFP,2,,"Construction & installation of power stations,…Construction & installation of power stations, switch rooms. Equipment sales and hire of generators, load banks. Service and repairs of generators. Design and fabrication of switchboards, control panels & load centres.",,,Yes,
BAM International Australia,158,102,,2012,1,1,1,"Construction and infrastructure in tunnels, rail…Construction and infrastructure in tunnels, rail systems, and PPP",,,Yes,Royal BAM Group nv
Civcon Civil & Project Management,80,49,"Khanh Nguyen(Founder, Director, General Manager)",2012,NFP,2,,"Civil construction, utilities infrastructure incl…Civil construction, utilities infrastructure incl. underground installation and service location; subdivisions, and plant and equipment hire

Road and bridge construction and maintenance, bulk and detailed earthworks, riverbank and remediation works, streetscape enhancements, pipeline installation, gas and water network maintenance, sewer infrastructure, service realignments and diversions, water and wastewater treatment plants, and pumping stations.","Golden Group: Redevelopment of the Burswood…Golden Group: Redevelopment of the Burswood Peninsular foreshore, Pipe for Perth projects for Water Corporation,",NFP,Yes,Civcon Civil and Project Management
ADCO,32,27,Adam Di Placido(Director),2003,300,2,,"ADCO Group provides electrical, mechanical,…ADCO Group provides electrical, mechanical, integration and fire services to the Residential, Commercial and Industrial sectors",,,Yes,
Densford Civil,113,69,"Martin Bullock(Founder, Managing Director)",1991,65,1,,Civil contracting,"Perth Airport, Main Roads WA,Water Corporation WA",,Yes,N/A
Stonecivil,135,80,Joe Tropiano(Managing Director),2007,NFP,1,,"Infrastructure works including freeway noise…Infrastructure works including freeway noise walls and major retaining works. 
Residential and industrial building lots, public open spaces, landscape features, canal/marina walls, concrete and brickwork. 
Stone pitching and cladding works.","Laing O'Rourke: Armadale Rd Upgrade, North Link 2…Laing O'Rourke: Armadale Rd Upgrade, North Link 2, BMD: Freeway upgrades, CPB: Infrastructure upgrades, Decmil: Reid Hwy Upgrade, RJV: Burns Beach, Eden Beach, The Vale, Whiteman Edge, Lakelands, Croker: Jindee, Abernethy Rd, Georgiou: Ellenbrook",NFP,Yes,Stonecivil Pty Ltd
Lenzo Plasterers,121,77,Claude Lenzo(Managing Director),1977,54,,,,,,Yes,
Central Systems,39,,Andrew Ellison(Managing Director),1996,NFP,2,,"Multi-disciplined minor projects and construction…Multi-disciplined minor projects and construction, specializing in minor earthworks, civil, structural, mechanical, non-process infrastructure and bridge construction.","Samsung C&T: Roy Hill Bridgeworks Fortescue Metal…Samsung C&T: Roy Hill Bridgeworks Fortescue Metal Group: Solomon Ore Processing Facilities, Solomon NPI Design and Construct, Abrolhos Overpass, North Star SMP Roy Hill – construction of 11 rail bridges  Mineral Resources (Crushing Services International)",,Yes,Resource Development Group Limited
Central Earthmoving,88,52,Craig Patterson(Managing Director),1985,120,2,,"Civil earthmoving, mine services, land…Civil earthmoving, mine services, land development. Mulching works and vegetation management, mine rehabilitation.","Main Roads WA, Landcorp, Water Corporation, Iluka…Main Roads WA, Landcorp, Water Corporation, Iluka, EMR, Department of Environment and Conservation, Sandfire Resource NL, DBP, DFES, FESA, Local Governments, St Barbara's, Australian Potash",,Yes,
Webuild,85,50,Richard Graham(Project Director),,130,1,,"Global construction contractor with a focus on…Global construction contractor with a focus on large, complex infrastructure projects.",Forrestfield Airport Link (JV with NRW Holdings),,,
Classic Contractors,128,85,"Mark Stewart(Founder, Managing Director)",1995,35,1,,"Construction, building, refurbishment, painting,…Construction, building, refurbishment, painting, wallcoverings, property maintenance and safeguard services.","Broad, BMW, Northerly, FDC, EMCO, Badge Perkins…Broad, BMW, Northerly, FDC, EMCO, Badge Perkins JV, Perkins, Regent College, City of Subiaco, Built Pty Limited, Karingal Green Aged Care, Thomas Building",$12.00m,Yes,
Fulton Hogan,,,,2010,,1,4,Civil engineering and construction contracting.,,,,
GHS Engineering,114,56,Andrew Pitcher(Director),1990,65,2,,"Engineering fabrication and installation,…Engineering fabrication and installation, mechanical engineering - fitting, machining, installation, poly fabrication and pipeline installation, scaffolding erection and hire, shift coverage & shutdowns, minesite & construction hire","Various Mining, Oil & Gas, Construction Companies…Various Mining, Oil & Gas, Construction Companies and Ports",NFP,Yes,
Mondium,117,85,,2016,60,1,,Multidisciplinary engineering and construction…Multidisciplinary engineering and construction capabilities for the delivery of EPC mineral processing projects and related infrastructure.,"Rio Tinto: Western Turner Syncline Phase 2,…Rio Tinto: Western Turner Syncline Phase 2, Talison Lithium Australia Pty. Ltd: Tailings Retreatment Project, Galaxy Lithium Australia Limited: Mt Cattlin Yield Optimisation Project, Talison Lithium Australia Pty. Ltd: Chemical Grade Feed System Project",,Yes,
Highway Construction,133,,Dean Capelli(Managing Director),1986,32,1,1,"Civil engineering - delivering and managing road,…Civil engineering - delivering and managing road, bridge and pavement construction contracts within urban and rural areas in WA.",Main Roads Western Australia,,Yes,
MSP Engineering,157,30,Peter McSweeney(Executive Chair),1969,3,1,,"MSP is a multi-disciplinary engineering…MSP is a multi-disciplinary engineering consulting and contracting business, specialising in EPC work for metals and industrial minerals. Services include studies and evaluation, process engineering design, EPC contracting, project management and operational support.",,,Yes,
UGL,4,3,Brendan Chaplyn(General Manager Resources (West)),1970,NFP,1,9,"UGL is a diversified services company delivering…UGL is a diversified services company delivering critical assets and essential services that sustain and enhance the environment in which we live.

UGL delivers comprehensive engineering, operations and maintenance services to the rail, transportation, technology, energy, resources, water, renewables and defence sectors.

UGL’s capabilities extend across a broad range of services and whole-of-life solutions, utilising
world-leading, sustainable and innovative technologies to deliver great outcomes for our clients across diverse industry sectors.

UGL’s skilled workforce, project delivery expertise in Asset Management, Operations and  Maintenance, Design and Construction, project management capability, and end-to-end engineering is backed by a continuous focus on safety, innovation and improvement.","BHP - Construction Panel, Rio Tinto - Mesa J, …BHP - Construction Panel, Rio Tinto - Mesa J,  Chevron - multi services for WA assets, Woodside - KLE Program; Alcoa - multi serivces; Raytheon - multi discipline refurb fuels project;",,,CIMIC Group Limited
Nilsen WA,60,26,Adam Fielding(General Manager),1966,200,1,6,"Electrical contracting, communications and data,…Electrical contracting, communications and data, high voltage services, service and maintenance, and switchboards.",,NFP,Yes,Nilsen (WA) Pty Ltd
Stiles Electrical and Communication Services,119,79,Matt Stiles(Director),1999,60,1,,"Commercial and industrial electrical…Commercial and industrial electrical installations, electrical maintenance, flood lighting, feature lighting, street lighting, back up generator systems.","CPB - Elizabeth Quay, Georgiou - Scarborough…CPB - Elizabeth Quay, Georgiou - Scarborough Redevelopment, York/Rizzani - Matagarup Bridge, City Of Joondalup - City Centre Lighting Upgrade, City of Perth - Hay St Lighting Upgrade, St Georges Tce Lighting Upgrade, Trafalgar Bridge LED Lighting",$15.00m,Yes,
All Go Contracting WA,,,Aaron Evans(Managing Director),2022,,1,,,,,Yes,
Kerbing West,143,,Julianne McKay(Director),1989,NFP,1,,"Commercial Road Kerbing (insitu), Concrete Road…Commercial Road Kerbing (insitu), Concrete Road Barriers (insitu), Bridge Parapets (insitu)","BMD, CPB, MRIA, Wormall Civil, Georgiou",$6.00m,Yes,Eastside Concrete Contracting
Hagstrom Drilling,89,84,Paul Musca(Owner and Managing Director),1992,NFP,1,,"Mineral exploration, hydrogeological and…Mineral exploration, hydrogeological and geotechnical drilling services","Mineral Resources, Talison Lithium, Rio Tinto,…Mineral Resources, Talison Lithium, Rio Tinto, FMG, Oz Minerals, Dreadnought Resources",NFP,Yes,
DM Civil,71,53,Stephen Hall(Co-Managing Director),1976,NFP,1,,Complete civil construction and trenchless…Complete civil construction and trenchless technology.,"Water Corporation, DevelopmentWA, ATCO Gas…Water Corporation, DevelopmentWA, ATCO Gas Australia, Rottnest Island Authority,Alcoa of Australia Limited,",NFP,Yes,DM Drainage & Constructions Pty Ltd
Valmec,44,48,Steve Dropulich(Managing Director),2011,250,1,3,"Valmec provide multidisciplinary construction…Valmec provide multidisciplinary construction contracting expertise encompassing civil, structural, mechanical, electrical and instrumentation (CSMPE&I) disciplines. Valmec have in house trades staff, engineers, supervisors and equipment to enable us to self-execute the partial or full spectrum of construction projects and provide integrated turnkey solutions.","Newmont - TE2 Expansion project in Tanami, NT (…Newmont - TE2 Expansion project in Tanami, NT ($15m)",,Yes,Valmec Limited
ACCIONA,28,59,"Grant Smillie(Regional General Manager, WA)",2011,418,5,4,,"OMTID/MRWA- Bunbury Outer Ring Road, OMTID/PTA –…OMTID/MRWA- Bunbury Outer Ring Road, OMTID/PTA – Bayswater Station and Turnback, Kwinana Waste to Energy, East Rockingham Waste to Energy, OMTID/MRWA - Stephenson Avenue Stage #2, OMTID/PTA – Victoria Park-Canning Level Crossing Removal Project",,,
BRE Engineering,126,76,,2015,NFP,1,1,"Sheet metal, fabrication, insulation, thermal…Sheet metal, fabrication, insulation, thermal insulation blankets, electrical and instrumentation, and cabinet making services, CNC Router cutting services, industrial painting and preservation. 
Ship Building, pipe fitting, engineering consulting, design and manufacture, Labour Hire.","Defence shipbuilding projects for Navy, Luerssen.",NFP,Yes,
Eptec,,,,1998,,,,,,,Yes,
Hybrid Systems Australia,64,,Michael Hall(Executive Director),2015,180,2,1,"Build Own Operate power systems
Power Purchase…Build Own Operate power systems
Power Purchase Agreements
Design and construct renewable and hybrid power systems
Manufacturing (standalone power systems, hydrogen systems, hybrid power systems, battery energy storage systems)","Fortescue Metals Group Ltd (Solomon Power Station…Fortescue Metals Group Ltd (Solomon Power Station and BESS); Horizon Power (Denham Hydrogen Demonstration Plant, Esperance Power Station & Renewables Hub, Mid West Remote Power Systems); Western Power (Standalone Power Systems); Westgold (Power Stations)",$100.00m,Yes,Pacific Energy Group Holdings Ltd
Wormall Civil,27,27,Shane Wormall(Managing Director),1984,430,3,,"Earthworks, sewerage, wastewater pump stations,…Earthworks, sewerage, wastewater pump stations, water, stormwater drainage, power, gas, communications, roadworks, footpaths, retaining walls, estate walls, feature walls, landscaping, environmental systems, total project management",Peel Business Park – DevelopmentWA; Rivermark…Peel Business Park – DevelopmentWA; Rivermark/Midland Brick Redevelopment – Hesperia; Seaside Madora – Satterley; Henley Brook; Baldivis One71 - Mirvac; Golden Bay; Burns Beach; Movida - Peet/DevWA; Brightwood - Parcel,NFP,Yes,Wormall Civil Pty Ltd
Drilline Civil & Haulage,154,64,Ryan Croll(Chief Executive),1994,10,2,,"Civil construction, pipeline solutions, haulage,…Civil construction, pipeline solutions, haulage, plant hire services, sand mining, gravel packing supply, material supply and earthworks.","Rio Tinto, Water Corporation, BHP Billiton, DBP,…Rio Tinto, Water Corporation, BHP Billiton, DBP, DGP, Onsite Rentals, Shire of Ashburton, Bechtel, Ertech Holdings, Highway Constructions,",,Yes,Drilline Pty Ltd
Lighthouse Engineering,134,92,Basel Naser(Director),2012,32,1,,"3D modelling and steel detailing, fabrication of…3D modelling and steel detailing, fabrication of structural steel and metalworks,
turnkey design, supply, and install of steel structures.",,,Yes,
Whittens,29,28,Louise Whitten(Chief Executive),2001,400,1,3,"Bulk and detailed earthworks, civil concrete…Bulk and detailed earthworks, civil concrete construction, water management","FMG, BHP, Roy Hill, RIO Tinto",$180.00m,Yes,
Melchor,42,32,Shane Jones(Founding Managing Director),2016,250,2,,"Melchor Contracting is a civil construction…Melchor Contracting is a civil construction company that offers an innovative method to delivering large infrastructure and industrial projects in Perth Metro and remote locations. Melchor Contracting provides a diverse range of capabilities which can be implemented independently or combined, for optimised efficiency.

By offering comprehensive front-end engineering and scheduling, we can identify design improvements, and provide accurate planning and resource management. Seamless project management and extensive experience enable an all-encompassing civils capability, including detailed earthworks, reinforcement fixing, formwork, concrete placement and maintenance, complemented with an in-house E&I team","Primero: Mount Holland Mining & Concentrator…Primero: Mount Holland Mining & Concentrator Operations, Cockburn Cement: Cockburn Cement, CPB: Yanchep Metronet Rail Extension, Covalent (Melchor is main contractor): Covalent Lithium Refinery Project,",,Yes,
Goodline,26,22,Catherine Kennedy(Executive Manager),1999,NFP,2,6,Leading Engineering and Construction company…Leading Engineering and Construction company providing professional project and maintenance services to Australia's most influential resource companies.,"Rio Tinto, Fortescue Metals Group, BHP, Roy Hill…Rio Tinto, Fortescue Metals Group, BHP, Roy Hill Holdings.",,Yes,Ribshire Pty Ltd
Downer EDI,6,6,"Peter Tompkins(Managing Director, Chief Executive Officer)",1968,NFP,10,40,"Engineering, construction and maintenance service…Engineering, construction and maintenance service providers in the core markets of oil and gas, power, transport infrastructure, water, communications, social infrastructure and property.","BHP - South Flank HV Transmission & Distribution,…BHP - South Flank HV Transmission & Distribution, BHP - South Flank LTE Communications, BHP - South Flank Port Upgrade Works, Bechtel/Chevron - Wheatstone Sustaining Capital Works, TechnipFMC - Prelude FLNG Offshore Services",,Yes,Downer EDI Limited
Sedgman,47,68,"Steve van Barneveld(Executive General Manager, APAC)",2001,230,1,3,"Engineering and Design, EPC, EPCM, Execution,…Engineering and Design, EPC, EPCM, Execution, Commissioning, Operational Readiness, Operations",,NFP,,CIMIC Group
Powertech,87,66,Paul Carmignani(Managing Director),1998,122,2,4,"Full EPC Turnkey Solutions across multiple…Full EPC Turnkey Solutions across multiple sectors covering any combination of the following offerings:

ENGINEERING & DESIGN
Electrical engineering solutions and support through power systems studies, detailed design, analysis and consulting.
Offering the following services: 
* Protection Coordination Studies 
* Load Flow Analysis Studies 
* Short Circuit Analysis Studies 
* Harmonic Analysis Studies 
* Motor Starting Analysis Studies 
* Transient Stability and Fault Recovery Studies 
* Arc Flash Studies 
* Earthing Design Analysis Studies 
* Economic Feasibility Studies 
* Technical Feasibility Studies 
* FEED and Detailed Engineering Design 
* Protection and Metering Scheme Design and Upgrades 
* Relay Configuration and Settings 
* Commissioning and Test Plan development 
* QA/QC documentation 
* Asset Reliability Engineering 
* Consulting Services 
* Scope of Work and Project Framing 
* Regulatory Standards Review and Advice 
* Drafting Services

BUILD & INSTALL
Project Management, Procurement, Build, Installation and Pre-commissioning for:
* Cabling Systems
* Substations / Kiosks
* Switch Boards
* HV/MV Terminations
* UPS Systems
* HV/MV Switch Gear
* VFDs
* BESS
* Solar Farms
* Power Skids
* Switch Yards
* Transformers
* RMUs.

COMMISSIONING
Multidiscipline commissioning personnel as cohesive or individual autonomous & integrated teams.
* Complete Project Teams
* Shutdown campaigns
* Commissioning Management Systems
* Management
* Electrical
* Instrumentation
* Mechanical
* Factory Acceptance
* Systems
* Documentation
* Hazardous Areas
* Green Field Projects
* Brown Field Projects

OPERATIONS & MAINTENANCE
High Voltage and electrical/instrumentation asset management solutions: 
* HV Asset Management 
* HV Asset Maintenance 
* HV Asset Operations 
* HV Asset Reliability Engineering 
* HV Asset Root Cause Analysis 
* HV Auditing/Inspections 
* E&I Asset Management 
* E&I Asset Maintenance 
* E&I Asset Operations 
* E&I Asset Reliability Engineering 
* E&I Asset Root Cause Analysis 
* Gas Pipeline Maintenance 
* Shutdown Campaigns

TECHNICAL SERVICES
Highly trained and experienced technicians for inspection, testing, ramp-up, commissioning, optimisation & maintenance of all electrical assets specialising in high voltage and low voltage asset testing and commissioning services in project or 
maintenance environments:
* HV Relay Protection Testing
* CT Testing and VT Testing
* Circuit Breaker Testing
* Transformer Testing
* Transformer Filtration/Oil Sampling
* Rotating Machines Testing
* Protection Scheme Testing
* Power Utility Communication (IEC 61850)
* High Voltage Cable Testing
* Switchboard Testing
* Earth Grid Testing
* Thermographic Survey
* Power Generation Commissioning
* Power Management System Commissioning
* E-house Commissioning & Testing
* Partial Discharge Testing
* Substation Commissioning & Testing
* Switchyard Commissioning & Testing
* Condition Monitoring
* Asset Management
* HV Auditing
* HV Competency Training

CALIBRATION & REPAIR
Calibration and testing of equipment and instruments. Laboratories in Perth and Brisbane offer traceable calibrations to Australian National Standards. All calibration reports are issued in compliance with ISO/IEC 17025. Also offer a range of on-site calibration, repair, and safety testing services to complement our fixed lab services. Our services cover the following fields: 
* Electrical Test and Measurement Equipment - LV and HV 
* Temperature - Direct and Infrared 
* Pressure Calibrations – Pneumatic and Hydraulic 
* Dimensional Calibrations 
* HV PPE Testing 
* Torque Wrench/Torque Multiplier Calibration 
* Mobile Calibration Facilities

EQUIPMENT HIRE & SALES
Hire, sales and complete equipment asset management solutions. From a single asset, single day hire to complete customised project packages including 24-hour on site manned equipment facilities, equipment management and maintenance services, and long-term supply/maintenance contracts. We have the expertise, experience and equipment to help in the following areas: 
* Electrical 
* Instrumentation 
* Environmental 
* General industrial 
* Mechanical 
* Safety equipment",BHP; Rio Tinto; Inpex; Woodside; Santos; Vestas;…BHP; Rio Tinto; Inpex; Woodside; Santos; Vestas; Triangle Energy; Siemens; Schneider; Newgen Power; Civmec; Coates Hire; Fortescue Metals Group; Bechtel Australia; Albermarle Lithium,$35.00m,Yes,Powertech Pty Ltd
NTC Contracting,109,61,Jason Varcoe(Managing Director),1914,70,1,,"Earthmoving, road construction, civil…Earthmoving, road construction, civil construction, drainage and associated civil works.","Chevron - Wheatstone LNG Plant, Pindan -…Chevron - Wheatstone LNG Plant, Pindan - Koodaideri, FMG - Eliwana, McConnell Dowell - Quick Mud Creek Bridge, MCC Mining - Sino Iron Mine; Tailings Dam Lift - Paulsens Gold Mine",$20.00m,Yes,
RJV,62,47,Tim Ryan(Chief Executive),1955,NFP,1,,"Bulk earthworks
Civil infrastructure
Urban…Bulk earthworks
Civil infrastructure
Urban Renewal
Mining services","DevelopmentWA - Orion Industrial Park; Cedar…DevelopmentWA - Orion Industrial Park; Cedar Woods - Henley Brook, Springtime, Eglinton;  Urban Quarter - Bletchley Park, East of the Beach;  Perron Treeby - Lake Treeby; Satterley - Eden Beach;  Stockland - Amberton; Peet -  Yanchep Golf, Lakeland, Shore",,Yes,Ralmana Pty Ltd
Baru Group,,,Anne Tallon(Director),2015,,,,,,,Yes,
MCT Equipment,137,,Anthony Grosser(Managing Director),2021,25,1,,"MCT Equipment supplies and maintains new and used…MCT Equipment supplies and maintains new and used mobile cranes, telehandlers, and associated lifting products throughout Western Australia and the Northern Territory. Across construction, mining, infrastructure and marine lifting settings, MCT Equipment’s key focus is on innovation, safety and efficiency.",,,Yes,
Vertech Group,46,43,Cameron Waters(Managing Director),2008,250,2,5,"Vertech Group are an inspection and specialist…Vertech Group are an inspection and specialist maintenance provider who underpin our operations with specialist access and rope access solutions to deliver efficiency and safety excellence.
 Vertech Group includes specialist providers including Geo Oceans, APS Industrial Services, AUAV, Remo Technical Services and Sonomatic within Australia.

Group  services lines include;
- Specialist drone and data solutions
- Infrastructure construction and engineering
- Marine Class Inspection
- In Service Inspection or plant, process & Structures
- Specialist maintenance upgrade and repair
- Non Destructive testing
- Specialist and Rope access
- Modular and Conventional Scaffolding
- Storage Tank testing & inspection
- Remote digital visual inspection
- Mini ROV 
- Autonomous Underwater Vehicle Services (AUV)","Santos, Inpex, Woodside, Chevron, Beach, Wood, …Santos, Inpex, Woodside, Chevron, Beach, Wood,  MGI, ENI, Maersk, Diamond Offshore, CYP, John Holland, lend Lease",$50.00m,Yes,Commercial Worldwide Ltd
HAS Earthmoving,97,74,Heath Shipard(Founder),2004,NFP,2,,"Civil Works, Electrical, Plant Hire inc Wet, Dry,…Civil Works, Electrical, Plant Hire inc Wet, Dry, Labour","S2M, City of Gosnells",NFP,Yes,
Breight Group,21,14,Stephen Easterbrook(Managing Director),2007,650,3,1,Breight Group is a leading West Australian…Breight Group is a leading West Australian organisation providing specialist access and mechanical services to the resources sector.  Our unique training facility supports our approach to Safety At All Levels.,"Fortescue, Rio Tinto, Roy Hill, Newmont, Chevron,…Fortescue, Rio Tinto, Roy Hill, Newmont, Chevron, Mineral Resources, BHP",$77.29m,Yes,Breight Pty Ltd
Allpipe Technologies,139,81,,2010,NFP,1,,"Inspection, cleaning and repair of drainage pipes…Inspection, cleaning and repair of drainage pipes. Providing specialised pipleline renovation work using trenchless technology equipment & Hydro excavation","City of Perth - CCTV inspection, Water…City of Perth - CCTV inspection, Water Corporation - CCTV inspection, cleaning & internal pipe repairs, City of Subiaco - Drainage Asset Condition Assessment, City of Bunbury, Town of Cambridge, City of Fremantle",NFP,Yes,Allpipe Technologies Pty Ltd
Kerman Contracting,127,57,,1981,40,1,,"Kerman specialises in the design and construction…Kerman specialises in the design and construction of bulk storage and materials handling facilities, process plants, non-process infrastructure including accommodation villages and industrial facilities throughout Australia.",,NFP,Yes,Kerman Contracting Pty Ltd
