Company Name,Current Rank,Previous Rank,Senior Executive Name & Title,Year established,Total staff in WA,Number of engineers in WA,Offices in WA,Offices interstate,Current projects (top 5 only),Services offered,WA Revenue previous financial year,WA Revenue most recent financial year,Location of Head Office,Is the organisation headquartered in WA?,Ultimate holding company
CSE Comsource,143,107,Melanie Hazebroek(WA Regional Manager),2011,10,NFP,1,3,,"Design and engineering, procurement, testing and…Design and engineering, procurement, testing and commissioning, planning and scheduling, implementation, repairs and maintenance.  Fibre optic cable networks, copper cable networks, CCTV systems, electronic access control (EACS), monitored fire detection systems, PAGA systems, electronic navigational aids (Kelvin Hughes), meteorological systems, ship security alert systems (SSAS), maritime systems, wide area network (WAN), local area network (LAN), UHF digital trunked radio (TETRA, P25, DMR), VHF radio, radio consoles, paging systems, microwave, VSAT, satellite, telemetry.",,,Osborne Park,Yes,CSE Global (Australia) Pty Ltd
2H Offshore,,,"Elizabeth Tellier(Director, Perth)",,,,,,,,,,,Yes,
Electro 80,45,30,Sergej Divkovic(Managing Director),1987,77,63,1,2,"EEI Network Upgrades,Fiona Stanley Hospital,…EEI Network Upgrades,Fiona Stanley Hospital, Perth Airport Upgrade,Cape Lambert/Dampier Upgrades, Parker Point EEI","Industrial electrical, automation and controls…Industrial electrical, automation and controls services to the oil and gas, mining, power, chemical and manufacturing industries.",NFP,NFP,"Belmont, Western Australia",Yes,Automation Partners Pty Ltd
BRE Engineering,56,,,2015,48,45,1,,,"Scope Australia offers multi-disciplinary…Scope Australia offers multi-disciplinary services to the mining, oil & gas, infrastructure and government sectors in Australia and overseas. We are typically engaged in a lead capacity, enabling us to fully leverage our integrated management system, which helps to ensure the provision of multi-disciplined services is managed efficiently and provides our clients with certainty in project outcomes.

Our core services are provided across a range of project types and elements within our operational sectors and are generally classified as strategic project planning and approvals, studies (scoping, PFS, DFS, FEED); multi-disciplinary engineering and design services (either discipline specific or integrated), engineering design support for sustaining capital works, project services (including cost/project controls, scheduling, quantity surveying, estimating, contracts and procurement); project delivery (PMC, owner’s engineer), EPC project delivery (focussed on minerals processing), independent third party due diligence reviews; constructability reviews and value engineering.",,,"West Perth, Western Australia",Yes,
FTE Engineering,159,123,Charlie Po(Office),1986,15,1,1,,,"Engineering design, steel fabrication (carbon,…Engineering design, steel fabrication (carbon, aluminium and stainless), hydraulics, on-site construction, crane services and abrasive blasting and painting.",,,"Busselton, WA",Yes,
NVR Solutions,157,116,Simon Hubble(Director),2004,NFP,NFP,1,,"Port of Esperance security surveillance upgrade…Port of Esperance security surveillance upgrade 2017-2018 Fremantle Ports design and consultancy, Surveillance and Access Control upgrade Sodexo Weipa SPQ mess ticketing and surveillance system, Esplanade Apartments access control and intercom upgrade","CCTV engineering; design, project management and…CCTV engineering; design, project management and installation and service
Thermal imaging detection systems; design, installation and service
Access control ; design, project management, installation and service
Custom software integration services for security and process
Gate entry data mining and verification systems",NFP,NFP,Osborne Park,Yes,
Honeywell,,,,1962,,,1,,,,,,,Yes,
Auto Control Systems,98,,John Watts(General Manager),2006,50,16,,,,,,,,Yes,
Icon Engineering,79,60,David Field(Managing Director),1997,40,25,1,,,"Facilities design and engineering services from…Facilities design and engineering services from concept through to construction, offshore facilities installation, drilling rig upgrades and specialty equipment supply.",,,Perth,Yes,
Como Engineers,,,Grant Blakeman(Managing Director),1986,75,,1,1,,Engineering services for the minerals industry,,,"Level 2, 38 Richardson Street, West Perth, WA,…Level 2, 38 Richardson Street, West Perth, WA, 6005",Yes,
Karridale Group,140,105,Bill Wang(Chairman),2010,200,5,1,,Sino Iron Project,"Supply and installation/construction/maintenance…Supply and installation/construction/maintenance of detailed earth works, concrete, structural, mechanical and piping installation, electrical and instrumentation.",,NFP,Perth,Yes,
OSD,,,"Keith Horstmann(Executive Director, WA)",2005,,,1,2,,,,,Brisbane,,
Galvin Engineering,141,107,Chris Galvin(Executive Director),1930,70,5,1,3,"Institute of Mental Health - Singapore, Karratha…Institute of Mental Health - Singapore, Karratha Hospital, Greybase Hospital NZ, Redcliffe Hospital QLD, Grafton Prison NSW","Manufacturer and supplier of commercial tapware…Manufacturer and supplier of commercial tapware and accessories, fire/civil products and brassware.",,,"Perth, WA",Yes,N/A
Inflatable Packers International,,,"Clem Rowe(Managing Director, Chief Executive)",1999,,,,,,,,,,Yes,
Bossong Engineering,146,115,,1988,50,NFP,1,,,"Hard banding for oil and gas, drill pipes, robot…Hard banding for oil and gas, drill pipes, robot welding hard facing and manual fabrication, CNC Machining, Repair and maintenance services,",,,"Welshpool, WA",Yes,
Simmons Global,,,Dave Simmons(CEO),,,,1,,,,,,"O'Connor, Perth",Yes,
DIAB Engineering,,,Glen Payne(Chief Executive),1970,,,,,,,,,,Yes,
John Holland,35,22,"Lindsay Albonico(Executive General Manager, Special Projects)",1962,NFP,NFP,1,4,NorthLink WA - Southern Section,"We are about finding solutions to complex…We are about finding solutions to complex challenges and opportunities. We work across sectors, from infrastructure and property development to rail and building, to benefit communities.

This depth and breadth means we go further to serve the needs of our customers.

We can help at any point of the project lifecycle – from origination, financing and development to design and construction, operations and maintenance.",,,Melbourne,Yes,CCCC International Holding Ltd.
Adra Group,123,99,Robert Osborn(Chief Executive),2006,NFP,NFP,1,3,,"Asset inspection, asset performance optimisation,…Asset inspection, asset performance optimisation, design audits and certifications, engineering solutions, project delivery, secondment",,,Perth,Yes,
McDowall Affleck,112,75,Michael Ferritto(Managing Director),1978,22,12,1,,"Karratha Mercury Plant, Structural Engineering…Karratha Mercury Plant, Structural Engineering for Rio Dampier Salt, MKSEA Industrial Area, Swan River Pedestrian Bridge, Forrestfield Link","A comprehensive range of consulting engineering …A comprehensive range of consulting engineering (civil, structural, mechanical), design, project management and construction solutions.",NFP,NFP,69 Great Northern Highway Midland WA 6056,Yes,
Norman Disney & Young,74,53,Darrel Williams(Office Director),1959,35,NFP,1,6,,"Specialises in planning, design and project…Specialises in planning, design and project management of national and international projects across a range of industries including commercial, industrial and infrastructure.",,,"Sydney (H/O Accounts), Melbourne (H/O Marketing…Sydney (H/O Accounts), Melbourne (H/O Marketing/Corp)",Yes,NDY Management Pty Limited
McDermott International,65,,Bill Calligeros(Country Manager - Australia),1984,NFP,NFP,1,,,,,,"Houston, USA",Yes,
Verbrec,34,13,,1993,115,85,3,6,"Water Corporation SCADA Replacement, RTIO West…Water Corporation SCADA Replacement, RTIO West Angelas Gas Pipeline Realignment, BHP Port Electrical Upgrades, Cape Preston Stockyard Management Systems, Coogee Chemicals Product Tank Valve Automation","Digital Industry - Control, automation and…Digital Industry - Control, automation and industrial data solutions development & implementation. Pipelines - gas, fuel, slurry & water system design & implementation. E&I - design and installation. Multidisciplanary engineering - process plants. Asset management - audits & MMS. Competancy Training - RTO courses tailored for site specific requirements.",NFP,NFP,Brisbane,Yes,LogiCamms Ltd
METS Engineering Group,130,,Damian Connelly(Principal Consulting Engineer),1988,15,8,1,,,Engineering services - processing/ metallurgy/…Engineering services - processing/ metallurgy/ mechanical/ structural/ civil,NFP,NFP,West Perth,Yes,
SGS Australia,86,80,Riaan Jonker(Operations Manager WA Geochem),1993,80,21,3,40,,"Metallurgical testing: Mineral processing  (batch…Metallurgical testing: Mineral processing  (batch and pilot), Metallurgical testing: Hydrometallurgy (batch and pilot), Geometallugical Consulting, High Definition Mineralogy, Geochemistry.

SGS Radiation Services is the leading radiation service provider in Australia, with over 25 years of professional experience in mining, oil and gas, and other industries. As a registered licence holder under the Radiation Safety Act, they provide high level client consultation to maintain regulatory compliance, and avoid potential legal and financial repercussions from unnecessary exposure to radiation sources.
An overview of the services offered through SGS Radiation Services is shown below;
•	Radiation Surveys – Including baseline surveys; NORM accumulation in processing plants for oil and gas operations, mineral sands and mining operations. 
•	Site Audits – On site auditing including static level and density gauges.
•	RMPs – Development of site specific Radiation Management Plans.
•	Training & Additional Services – Such as emergency response, transport and analysis of radioisotopes, supply and calibration of monitoring equipment, and licenced training courses for Radiation Safety Officers (RSO’s).
•	Static Gauges – Including supply and disposal of radiation sources, Refurbishment of gauge housings and recertification of sources.

SGS Environment, Health & Safety (EHS) incorporating SGS Radiation Services incorporates a network of laboratories and office locations within Western Australia and other states and territories. Their business covers all facets of chemical, biological, industrial and radiological testing within our laboratory network for a wide variety of industries from local, state and federal governments, Engineering firms, resource companies, agricultural and chemical processing facilities to the general public. 
The core tasks associated with this part of the EHS business are testing air, vapour, soil, water, products and processes against local, state and federal regulations.
SGS offers NATA accredited services for; Field sampling (air, gas, vapour, water); Chemical, radiation and biological testing; Vapour, gas and air testing; Occupational hygiene testing

SGS Mineral Services Australia
SGS provides support to their customers both as a strategic partner and technical advisor. Through their global network of over 100 laboratories they have a unique ability to draw on their worldwide expertise and experience.bSGS has an unparalleled network of commercial and onsite mine geochemical laboratories in Australia. These laboratories are dedicated to providing a complete approach to your geochemical needs.
Uniform Analytical Methods - All SGS geochemical laboratories worldwide utilise the same global methods, analytical codes and sample preparation techniques. The CCLAS Laboratory Information Management System (LIMS) is used in all SGS laboratories to collate and report data as well as providing statistical quality assurance. This ensures a uniform quality of service is provided at all of our laboratories. Superior analytical turnaround is provided to customers through our ability to utilise xcess capacity in all facilities in the global network. Utilising the SGS global network operating protocols, SGS is able to offer excellent quality, data processing, reporting and turnaround from all of our laboratories.

More information relating to SGS' operations and services can be found on their website - 
www.sgs.com.au",,,Perth Airport,Yes,SGS Australia Pty Ltd
Orontide Group,139,115,,1979,330,5,5,,"Long term maintenance support service contracts…Long term maintenance support service contracts with blue chip clients. Provide maintenance and support serivces for businesses in the mining, defence and oil and gas industries.","Maintenance engineering, specialist fabrication…Maintenance engineering, specialist fabrication and preservation services",NFP,NFP,"Henderson, WA",Yes,Orontide Group Limited
Wenco,103,84,"Paul Peca(Group Chief Executive, Managing Director)",1980,50,15,2,2,BHP Kwinana & Water Corporation Beenyup Advanced…BHP Kwinana & Water Corporation Beenyup Advanced Water Recylcling Plant,"Following is a list our divisions capabilities,…Following is a list our divisions capabilities, products and processes.
Mining (Wear/Corrosion Protection)
Servicing the bulk material handling and crushing industry in:
•	Supply of belts – Steel cord, Fabric, Sidewall, Chevron and Vacuum Filter
•	Splicing & repair materials, tools and machinery (like Winders and Vulcaniser)
•	Supply of conveyor accessories like rollers, skirts, scrapers, impact beds and more (Distributor of EZ skirts)
•	Supply of rubber lining materials (Wear & Chemical Protection)
•	Supply of pulley lagging materials for conveyors
•	Supply of Adhesives (NILOS Germany) for the rubber Industry
•	Supply of wear liners  (rubber, rubber-ceramic composite and ceramic direct bond tiles)
•	Expert technical advice
•	Field services (Rubber Lining, Conveyor & Ceramics) using Wenco preferred applicators.
•	Supply of fender products for marine applications (as attached)
Onshore Offshore Services
•	Structural Mechanical Piping (SMP)
•	GRE/GRP/GRVE, Metallic, PVC & HDPE pipe supply & installation
o	Marine grade fiberglass pipe already supplied to your contractors for Navy Frigates.
•	Piping design and engineering services
•	Shutdown & maintenance works
•	Offshore platform piping services
•	Hydro testing services
•	Blasting & painting services
•	Corrosive protective system
Heavy Engineering
•	Heavy engineering and fabrication
•	Rolling, pressing and dished end forming
•	Heat treatment
•	SMP and LSTK services
•	Supply and installation of piping
•	Supply and installation of mechanical equipment
•	Shutdown, repair and maintenance works
•	Hydro testing services",$17.00m,$22.00m,O'Connor,Yes,
Acor Consultants WA,,,"Sean Page(National Strategy Leader, Clients)",,,,1,10,,,,,,Yes,
Laing O'Rourke,33,19,,2006,NFP,NFP,3,8,Main Roads: NorthLink WA Central Section. Public…Main Roads: NorthLink WA Central Section. Public Transport Authority: Perth Stadium Station and East Perth Station Upgrade. BHP: Low Level Bridges.,,NFP,NFP,"Sydney, NSW",Yes,Laing O'Rourke Australia Pty Ltd
AIE,108,,"Kale Billett(Managing Director, Principal Engineer)",2014,15,13,2,2,,"Engineering consulting, structural integrity…Engineering consulting, structural integrity inspections, structural engineering, civil engineering, asset managment, drafting, Cathodic protection",,,"18 Edgar Street, Port Hedland, WA 6721",Yes,
ARRB Group,127,84,,1996,16,8,1,4,WND,WND,,,Melbourne,Yes,
Balance Services Group,84,71,"Rod Hayes(Group Chair, Managing Director, Chief Executive)",2011,42,22,1,,,,,,,Yes,
TL Engineering,155,127,Dan Oldham(Managing Director),1970,80,2,1,,,Vehicle body building and repairs.,$19.00m,NFP,Hazelmere,Yes,Vulcan Group Pty Ltd
Snowden,120,69,Tarrant Elkington(General Manager),1987,NFP,NFP,1,1,,,,,Perth,Yes,Datamine Software
AtkinsRealis,37,24,"Joseph McCormick(Vice President, Resources Asia Pacific)",1989,300,80,1,4,"Woodside - Scarborough; AFE - Gladstone Ammonia…Woodside - Scarborough; AFE - Gladstone Ammonia project; Shell - Prelude, ENI - GES; Chevron - Jansz IO","SNC-Lavalin provides comprehensive end-to-end…SNC-Lavalin provides comprehensive end-to-end project solutions to our clients across multiple sectors: oil and gas, mining and metallurgy, renewables and Infrastructure (rail, roads, ports and aviation). Through our acquisition of Kentz (2014) and Atkins (2015) we can now provide a holistic approach from concept, FEED, engineering and design right through to self-perform construction and management, completions & commission, operations and maintenance and late life management. All underpinned by our digital and technology know-how",,,Perth,Yes,SNC-Lavalin Inc.
Pressure Dynamics,90,76,Snezan Makic(Managing Director),1979,50,20,2,1,Woodside Energy; Chevron Australia; Inpex…Woodside Energy; Chevron Australia; Inpex Australia; BHP Petroleum; Santos,"Our hydraulic, lifting and electro-mechanical…Our hydraulic, lifting and electro-mechanical products and services include:
-  site Shutdown and maintenance services;
-  design, manufacture, installation and commissioning;
-  inspection, maintenance and repair;
-  hose integrity management;
-  flexible hose assemblies and hydraulic componentry sales;
-  storage, maintenance, and preservation of customer equipment;
-  asset management and condition monitoring;
-  brownfield, reliability engineering and engineering consulting; and
-  modelling, simulation, and training.",NFP,NFP,"Bibra Lake, Perth",Yes,Pressure Dynamics International Pty Ltd
ANEED Consult,153,126,Johan Lombard(Director),2012,NFP,NFP,1,,"Renewable Energy Innovation, Validation of…Renewable Energy Innovation, Validation of Natural Gas projects, HV Submissions Industrial Site","Industrial consulting engineers, detail design…Industrial consulting engineers, detail design and project management for electrical, instrumentation and control systems in oil, gas, petrochemical, mining, utilities and building sectors.",NFP,NFP,"Perth, WA",Yes,NA
Donald Cant Watts Corke,,,"Neil Dickson(Managing Director, WA & NT; Director)",2007,NFP,,1,7,,Property and construction,,,,Yes,Donald Cant Watts Corke
CDMS Consulting Engineers,122,98,Damien Connelly(Principal Consulting Engineer),1986,NFP,NFP,1,,,"Engineering design services covering - mechanical…Engineering design services covering - mechanical, civil, structural, process, metallurgical, electrical, design verification and registration.",NFP,NFP,West Perth,Yes,Design Engineering Pty Ltd
Engineering Technology Consultants,106,82,,1976,NFP,NFP,1,,"Kalgoorlie Econimic Transformation, Cottesloe…Kalgoorlie Econimic Transformation, Cottesloe Foreshore Redevelopment, Broome Chinatown Redevelopment, Geraldton Heath Campus, Curtin University Exchange,","Electrical services including infrastructure,…Electrical services including infrastructure, security, lifts, medical, lighting, mining and resources consulting.",,,Western Australia,Yes,
Mining Plus,59,51,Ben Auld(Managing Director),2006,NFP,NFP,1,4,,"Mining engineering, geology, geotechnical services",,,"Bravo Building, 1 George Wiencke Drive, Perth…Bravo Building, 1 George Wiencke Drive, Perth Airport",Yes,Byrnecut Mining
Momentum Engineering,57,,Chris Clayton(Managing Director),2005,85,44,1,,"Gas Pipelines Facilities, Oil and Gas Facilities,…Gas Pipelines Facilities, Oil and Gas Facilities, Alternate Energy Facilities, Chem and PetroChem Facilties","Engineering, projects, consulting across all…Engineering, projects, consulting across all disciplines including process, electrical, instrument, controls, mechanical, piping, structural, civils.",,,"Perth, WA",Yes,
Fulton Hogan,,,,2010,,,1,4,,Civil engineering.,,,"Level 2, 15 Sir William Pickering Drive, Harewood…Level 2, 15 Sir William Pickering Drive, Harewood 8545, New Zealand.",Yes,
Lindsay Dynan,124,,Scott Watson(Executive Director),,,10,1,3,,"Engineering consultancy in the areas of…Engineering consultancy in the areas of structural, civil, construction engineering, environmental and asset management.",,,Sydney,Yes,
AME Offshore Solutions,,,Gus Costas(Director),2002,,,2,,,,,,"Perth, WA",Yes,
BCA Consultants WA,80,91,Anthony Richards(Managing Director),1992,NFP,NFP,1,,Karrinyup Shopping Centre,"Provides building compliance, fire, electrical,…Provides building compliance, fire, electrical, hydraulic, mechanical and environmental consulting engineering services, construction and contracting services to the commercial, industrial, resources and infrastructure sectors.",NFP,NFP,West Perth,Yes,
Austin Engineering,137,87,"David Singleton(Chief Executive, Managing Director)",1982,115,6,1,3,Austin is a global leader in providing loading…Austin is a global leader in providing loading and hauling solutions to the mining industry.,Austin provides the mining industry with…Austin provides the mining industry with innovative loading and hauling solutions that deliver market leading products and services for each customers’ specific needs in their application.,$258.30m,$313.24m,Perth,Yes,Austin Engineering Ltd
DRA Global,15,8,"James Smith(Chief Executive, Managing Director since 2023)",2018,,NFP,1,2,Yangibana REE Project; Tom Price Structural…Yangibana REE Project; Tom Price Structural Integrity Remediation Works; Koodaideri Stackers and Reclaimer; Mt Keith Debottlenecking; Newmont Limes Tank,"Across Australia the APAC region offers a…Across Australia the APAC region offers a comprehensive total solution to customers from geology and resource estimation, studies and engineering, EPCM, EPC as well as operations, maintenance, construction and shutdown services.",,,"Perth, WA",Yes,
Beacons Consulting International,144,127,Clifford Jones(Chairman & CEO),1988,NFP,NFP,3,1,Integrated Renewable Project in the South West…Integrated Renewable Project in the South West approx $ 170M,"Consulting engineers specialising in power…Consulting engineers specialising in power generation, transportation, distribution, railway transportation systems and business management systems. Researchers and developers of a range of Agri Business Process Technologies. And Developer and Manager of Projects",,,,Yes,
Halliburton Australia,72,63,Alasdair Wood(Senior Area Manager – Australasia),1959,,31,4,8,,"Offer a diversified range of energy products and…Offer a diversified range of energy products and services including sperry drilling, baroid, drill bits and services, cementing, production enhancement, pipeline and process services, completion tools, testing  and subsea, landmark software and asset solutions.",,,"Houston, USA.",Yes,
NGI,94,82,Noel Boylan(Managing Director),2014,20,20,1,,,Consultancy and R&D services related to…Consultancy and R&D services related to geotechnical engineering and geoscience. Services are focused primarily on Offshore Energy (Oil&Gas and Renewables) and Mining sectors.,NFP,NFP,Norway,Yes,
R Moore & Sons,78,69,Stuart Davis(General Manager),1920,65,25,1,,"OEM's, Defence, Mining, Marine, Power Generation.","Commercial / industrial diesel & gas engineering…Commercial / industrial diesel & gas engineering. Engine component inspection, testing and remanufacturing. Diesel fuel injection testing and remanufacturing. Turbocharger Overhauling Diesel Engine Dyno Testing up to 2,100HP.",,,"Kewdale, Western Australia",Yes,
Meridian Engineers Pty Ltd,138,119,Anthony Pruiti(Managing Director),1987,14,6,1,1,Rio Koodaideri Outgo train weighbridge; BHP South…Rio Koodaideri Outgo train weighbridge; BHP South Flank TLO2 Outgo and Bin Weighing; BMA Outgo Weighbridges 2 sites: Boodarie Static Loco Weighbridge; Aurizon High Speed Weighbridges,"Train weighing systems, train load out systems,…Train weighing systems, train load out systems, bin weighing systems, engineering consultancy services.",NFP,NFP,Osborne Park,Yes,
GHS Engineering,156,107,Andrew Pitcher(Director),1990,65,2,2,,,"Structural engineering, drafting & design…Structural engineering, drafting & design. mechanical engineering, drafting and design, scaffold engineering, drafting & design",NFP,NFP,Geraldton,Yes,
Mondium,89,78,,2016,60,20,1,,"Rio Tinto: Western Turner Syncline Phase 2,…Rio Tinto: Western Turner Syncline Phase 2, Talison Lithium Australia Pty. Ltd: Tailings Retreatment Project, Galaxy Lithium Australia Limited: Mt Cattlin Yield Optimisation Project, Talison Lithium Australia Pty. Ltd: Chemical Grade Feed System Project",Multidisciplinary engineering and construction…Multidisciplinary engineering and construction capabilities for the delivery of EPC mineral processing projects and related infrastructure.,,,"Perth, WA",Yes,
Macmahon Holdings,51,123,"Michael Finnegan(Chief Executive, Managing Director )",1964,"2,212",51,2,2,"Batu Hijau, Tropicana, Byerwen, Telfer, Mount…Batu Hijau, Tropicana, Byerwen, Telfer, Mount Monger",Contract mining across Australia and South east…Contract mining across Australia and South east Asia. Offers the full range of surface and underground mining services.,$710.30m,$1.10bn,"West Perth, WA",Yes,Macmahon Holdings Limited
TABEC,129,96,Chris Bitmead(Director),2000,NFP,NFP,1,,"Shorehaven, Lakelands, Rivergums, Atlantis Beach,…Shorehaven, Lakelands, Rivergums, Atlantis Beach, Port Geographe, Rivermark",Civil consulting engineers - land development and…Civil consulting engineers - land development and civil infrastructure.,NFP,NFP,West Perth,Yes,TABEC Pty Ltd
Atamo Innovations,131,112,Peter Barrow(Chief Executive),2003,13,8,1,,Client confidential,"Electronic engineering, production engineering,…Electronic engineering, production engineering, embedded hardware and software development, system integration, network design, systems engineering.",$1.20m,$1.50m,"Perth, WA",Yes,
Urbii,152,131,Paul Ghantous(Director),2018,7,3,1,,,"Traffic engineering, transport planning, road…Traffic engineering, transport planning, road safety, parking consulting, sustainable transport, transport modelling, integrated transport plans, Local Government consulting.",,,WA,Yes,
VEEM,119,96,Mark Miocevich(Managing Director),1968,190,10,1,,,"VEEM Ltd is a designer and manufacturer of…VEEM Ltd is a designer and manufacturer of disruptive, high-technology marine propulsion and stabilization systems for the global luxury motor yacht, fast ferry, commercial workboat and defence industries.",NFP,NFP,Canning Vale,Yes,ASX Listed
KAPP Engineering,107,92,Peter Parlongo(Managing Director),2005,14,14,1,,,"KAPP Engineering provides world-class electrical…KAPP Engineering provides world-class electrical engineering services and products in the field of industrial automation and process control. Our focus is on quality, innovation and providing our customers with committed customer support.",NFP,NFP,Balcatta,Yes,
Highway Construction,113,,Dean Capelli(Managing Director),1986,32,11,1,1,,"Civil engineering - delivering and managing road,…Civil engineering - delivering and managing road, bridge and pavement construction contracts.",,,"300 Collier Road, Bassendean WA 6054",Yes,
JDSI Consulting Engineers,91,75,Steven Foley(Founding Director),2007,NFP,NFP,1,,"Port Coogee Marina, Sienna Wood, Kingsford Estate…Port Coogee Marina, Sienna Wood, Kingsford Estate, Eliwana Camp, Iluma Private Estate","At JDSi, we specialise in comprehensive planning,…At JDSi, we specialise in comprehensive planning, design and construction solutions for land development, resources and infrastructure projects of any size and complexity. We work with private and government organisations on large scale urban developments, as well as projects throughout regional Western Australia.",,,Perth,Yes,
MSP Engineering,162,11,Peter McSweeney(Executive Chair),1969,3,1,1,,,"MSP is a multi-disciplinary engineering…MSP is a multi-disciplinary engineering consulting and contracting business, specialising in EPC work for metals and industrial minerals. Services include studies and evaluation, process engineering design, EPC contracting, project management and operational support.",,,"West Perth, WA",Yes,
SRK Consulting,54,45,"Carl Murray(Principal Consultant, Mining)",1994,75,50,1,5,,"Due diligence, independent technical reports,…Due diligence, independent technical reports, project evaluation, basin studies, exploration targeting, geological mapping, geophysics, resources: modelling and estimation, feasibility studies, geotechnical engineering, mine water management, open pit mining, tailings and waste management.",,,Perth,Yes,SRK Consulting (Australasia) Pty Ltd
Hofmann Engineering,,,Erich Hofmann(Managing Director),1969,,,,,,,,,,Yes,
Bechtel,73,64,,1995,70,30,3,9,Pluto Train 2,"Engineering, procurement, construction,…Engineering, procurement, construction, construction management, project/program management.",,,"Houston, Texas , USA.",Yes,"Bechtel Group, Inc."
Flo Solutions,161,144,Carl Pettersson(Managing Director),1990,NFP,NFP,1,,WND,WND,,,"Rockingham, WA",Yes,
Power & Energy Services,158,119,Simon Ashby(Managing Director),1995,2,2,1,,Aboriginal Community Power Supplies. Asset…Aboriginal Community Power Supplies. Asset management reviews. Substation  design.,"Consultancy services in energy, power generation…Consultancy services in energy, power generation and distribution.",NFP,NFP,,Yes,Siera Pty Ltd
UGL,40,37,Brendan Chaplyn(General Manager Resources (West)),1970,NFP,75,1,9,,"UGL is a diversified services company delivering…UGL is a diversified services company delivering critical assets and essential services that sustain and enhance the environment in which we live.

UGL delivers comprehensive engineering, operations and maintenance services to the rail, transportation, technology, energy, resources, water, renewables and defence sectors.

UGL’s capabilities extend across a broad range of services and whole-of-life solutions, utilising
world-leading, sustainable and innovative technologies to deliver great outcomes for our clients across diverse industry sectors.

UGL’s skilled workforce, project delivery expertise in Asset Management, Operations and  Maintenance, Design and Construction, project management capability, and end-to-end engineering is backed by a continuous focus on safety, innovation and improvement.",,,North Sydney NSW,,CIMIC Group Limited.
OPES International,150,119,Bert Filippi(General Manager),1990,7,4,1,,"Currently undertaking reservoir simulation of…Currently undertaking reservoir simulation of various oil and gas fields around the world, including  India, Indonesia, PNG & Australia. Other current OPES projects range from compositional simulation to gas lift optimisation.",Petroleum engineering consultants.,,,Perth,Yes,
